"sujet","trialNo","homo","population","populationC"
"ENG2014",12,1,"ENG",-0.5
"THK0049",5,1,"THK",0.5
"THK0055",3,1,"THK",0.5
"THK0181",0,1,"THK",0.5
"ENG5002",11,0,"ENG",-0.5
"THK0250",14,1,"THK",0.5
"ENG2010",0,1,"ENG",-0.5
"ENG5004",1,1,"ENG",-0.5
"ENG4010",5,1,"ENG",-0.5
"THK0082",14,1,"THK",0.5
"THK0202",7,1,"THK",0.5
"ENG5010",15,1,"ENG",-0.5
"ENG3008",9,1,"ENG",-0.5
"THK0331",10,1,"THK",0.5
"ENG4012",1,1,"ENG",-0.5
"THK0283",10,1,"THK",0.5
"ENG3008",12,1,"ENG",-0.5
"THK0082",5,NA,"THK",0.5
"ENG2010",2,1,"ENG",-0.5
"ENG2008",13,0,"ENG",-0.5
"THK0154",5,0,"THK",0.5
"ENG4018",1,1,"ENG",-0.5
"ENG2010",3,1,"ENG",-0.5
"ENG3006",3,1,"ENG",-0.5
"THK0154",15,NA,"THK",0.5
"ENG4022",2,1,"ENG",-0.5
"THK0154",12,0,"THK",0.5
"ENG4024",9,1,"ENG",-0.5
"THK0022",6,1,"THK",0.5
"ENG5004",5,1,"ENG",-0.5
"ENG3004",10,1,"ENG",-0.5
"THK0295",0,NA,"THK",0.5
"ENG3008",4,1,"ENG",-0.5
"ENG3008",5,1,"ENG",-0.5
"ENG4002",0,1,"ENG",-0.5
"THK0250",1,1,"THK",0.5
"ENG3006",4,1,"ENG",-0.5
"ENG5006",13,1,"ENG",-0.5
"THK0046",0,1,"THK",0.5
"THK0136",2,0,"THK",0.5
"ENG2020",1,1,"ENG",-0.5
"ENG4012",0,1,"ENG",-0.5
"ENG4004",4,1,"ENG",-0.5
"ENG2018",8,1,"ENG",-0.5
"THK0073",14,1,"THK",0.5
"ENG4014",1,1,"ENG",-0.5
"THK0046",0,1,"THK",0.5
"THK0193",6,1,"THK",0.5
"ENG3004",7,1,"ENG",-0.5
"ENG5010",5,1,"ENG",-0.5
"THK0295",3,0,"THK",0.5
"ENG2012",11,1,"ENG",-0.5
"ENG2002",6,0,"ENG",-0.5
"ENG3004",10,1,"ENG",-0.5
"ENG5006",4,1,"ENG",-0.5
"THK0331",10,1,"THK",0.5
"ENG2020",14,1,"ENG",-0.5
"THK0034",2,1,"THK",0.5
"THK0193",14,1,"THK",0.5
"THK0178",8,1,"THK",0.5
"THK0049",15,1,"THK",0.5
"ENG4006",11,0,"ENG",-0.5
"THK0181",7,1,"THK",0.5
"ENG4004",9,1,"ENG",-0.5
"THK0073",6,1,"THK",0.5
"ENG4008",2,1,"ENG",-0.5
"ENG2016",6,1,"ENG",-0.5
"ENG4022",10,1,"ENG",-0.5
"THK0328",11,1,"THK",0.5
"ENG2012",5,1,"ENG",-0.5
"ENG4016",2,NA,"ENG",-0.5
"ENG2010",2,1,"ENG",-0.5
"ENG2018",8,1,"ENG",-0.5
"ENG4024",14,1,"ENG",-0.5
"ENG4016",11,1,"ENG",-0.5
"ENG3006",7,1,"ENG",-0.5
"ENG4016",0,NA,"ENG",-0.5
"ENG4024",3,1,"ENG",-0.5
"ENG4018",5,1,"ENG",-0.5
"THK0283",12,1,"THK",0.5
"ENG4024",12,1,"ENG",-0.5
"ENG4022",12,1,"ENG",-0.5
"ENG4008",10,1,"ENG",-0.5
"ENG4020",3,0,"ENG",-0.5
"ENG4004",1,1,"ENG",-0.5
"THK0046",1,1,"THK",0.5
"ENG4008",11,1,"ENG",-0.5
"ENG2008",6,0,"ENG",-0.5
"THK0193",15,1,"THK",0.5
"THK0082",3,1,"THK",0.5
"THK0286",14,1,"THK",0.5
"ENG3004",11,1,"ENG",-0.5
"THK0181",9,1,"THK",0.5
"ENG4002",13,1,"ENG",-0.5
"THK0283",2,1,"THK",0.5
"ENG2020",7,1,"ENG",-0.5
"THK0154",13,0,"THK",0.5
"THK0049",11,1,"THK",0.5
"ENG4006",6,NA,"ENG",-0.5
"THK0250",3,1,"THK",0.5
"THK0328",0,1,"THK",0.5
"THK0181",15,1,"THK",0.5
"ENG3006",14,1,"ENG",-0.5
"ENG5008",0,NA,"ENG",-0.5
"ENG2016",13,1,"ENG",-0.5
"ENG4008",11,1,"ENG",-0.5
"THK0331",5,1,"THK",0.5
"THK0049",11,1,"THK",0.5
"THK0193",13,1,"THK",0.5
"ENG3004",13,1,"ENG",-0.5
"ENG4006",14,0,"ENG",-0.5
"ENG4002",2,1,"ENG",-0.5
"ENG3008",0,1,"ENG",-0.5
"ENG4022",2,1,"ENG",-0.5
"ENG5008",11,1,"ENG",-0.5
"ENG4010",6,1,"ENG",-0.5
"ENG5006",14,1,"ENG",-0.5
"THK0154",15,NA,"THK",0.5
"ENG2008",14,1,"ENG",-0.5
"ENG2002",11,0,"ENG",-0.5
"THK0049",7,1,"THK",0.5
"ENG2020",15,1,"ENG",-0.5
"ENG2010",7,1,"ENG",-0.5
"ENG5002",1,0,"ENG",-0.5
"THK0295",11,0,"THK",0.5
"THK0286",5,0,"THK",0.5
"ENG2014",2,1,"ENG",-0.5
"ENG5006",9,1,"ENG",-0.5
"THK0136",7,0,"THK",0.5
"THK0202",4,1,"THK",0.5
"ENG2010",14,1,"ENG",-0.5
"ENG4014",11,1,"ENG",-0.5
"ENG5006",3,1,"ENG",-0.5
"ENG3008",14,1,"ENG",-0.5
"THK0034",11,1,"THK",0.5
"ENG4006",13,0,"ENG",-0.5
"ENG4008",8,1,"ENG",-0.5
"ENG3006",15,1,"ENG",-0.5
"ENG4018",1,1,"ENG",-0.5
"ENG4004",12,1,"ENG",-0.5
"ENG4010",8,NA,"ENG",-0.5
"ENG4022",0,1,"ENG",-0.5
"ENG2002",9,0,"ENG",-0.5
"THK0202",11,1,"THK",0.5
"ENG4018",14,1,"ENG",-0.5
"ENG4018",11,1,"ENG",-0.5
"ENG4024",2,1,"ENG",-0.5
"THK0049",7,1,"THK",0.5
"ENG4018",15,1,"ENG",-0.5
"THK0178",14,1,"THK",0.5
"THK0250",1,1,"THK",0.5
"ENG5010",13,1,"ENG",-0.5
"ENG2018",3,1,"ENG",-0.5
"ENG4008",0,1,"ENG",-0.5
"ENG5004",1,1,"ENG",-0.5
"THK0250",7,1,"THK",0.5
"ENG4022",13,1,"ENG",-0.5
"THK0082",1,1,"THK",0.5
"ENG4006",14,0,"ENG",-0.5
"ENG2014",12,1,"ENG",-0.5
"THK0049",10,1,"THK",0.5
"THK0202",5,1,"THK",0.5
"ENG2012",5,1,"ENG",-0.5
"ENG4004",13,1,"ENG",-0.5
"ENG4018",4,1,"ENG",-0.5
"ENG5010",11,1,"ENG",-0.5
"ENG5008",9,1,"ENG",-0.5
"THK0136",11,0,"THK",0.5
"ENG4016",13,0,"ENG",-0.5
"ENG5010",14,1,"ENG",-0.5
"ENG3006",15,1,"ENG",-0.5
"ENG2022",13,1,"ENG",-0.5
"THK0076",7,1,"THK",0.5
"ENG4016",13,0,"ENG",-0.5
"ENG2008",14,1,"ENG",-0.5
"THK0202",2,1,"THK",0.5
"ENG5006",1,1,"ENG",-0.5
"ENG5008",15,1,"ENG",-0.5
"ENG4012",5,1,"ENG",-0.5
"THK0286",7,1,"THK",0.5
"THK0181",7,1,"THK",0.5
"ENG4022",9,1,"ENG",-0.5
"THK0136",14,0,"THK",0.5
"THK0034",1,0,"THK",0.5
"ENG2008",3,1,"ENG",-0.5
"THK0136",4,1,"THK",0.5
"THK0178",11,1,"THK",0.5
"ENG4014",13,1,"ENG",-0.5
"ENG2018",1,1,"ENG",-0.5
"ENG4020",11,0,"ENG",-0.5
"ENG3004",4,1,"ENG",-0.5
"THK0178",10,1,"THK",0.5
"ENG2022",6,1,"ENG",-0.5
"ENG4016",11,1,"ENG",-0.5
"THK0250",0,0,"THK",0.5
"ENG4024",10,1,"ENG",-0.5
"ENG2002",1,NA,"ENG",-0.5
"THK0049",4,1,"THK",0.5
"THK0055",8,NA,"THK",0.5
"ENG2006",2,1,"ENG",-0.5
"ENG4004",15,1,"ENG",-0.5
"ENG2008",4,1,"ENG",-0.5
"THK0328",13,1,"THK",0.5
"ENG3006",14,1,"ENG",-0.5
"ENG5006",12,1,"ENG",-0.5
"ENG5004",8,1,"ENG",-0.5
"ENG2008",10,0,"ENG",-0.5
"ENG4004",4,1,"ENG",-0.5
"ENG2020",9,1,"ENG",-0.5
"THK0076",15,1,"THK",0.5
"ENG3008",10,1,"ENG",-0.5
"THK0331",2,1,"THK",0.5
"THK0202",11,1,"THK",0.5
"THK0295",12,0,"THK",0.5
"ENG4010",1,0,"ENG",-0.5
"ENG2018",9,1,"ENG",-0.5
"THK0328",8,1,"THK",0.5
"THK0250",4,1,"THK",0.5
"ENG3008",6,1,"ENG",-0.5
"ENG5010",8,1,"ENG",-0.5
"THK0328",4,1,"THK",0.5
"ENG2012",9,1,"ENG",-0.5
"ENG2016",7,1,"ENG",-0.5
"THK0046",0,1,"THK",0.5
"THK0250",12,1,"THK",0.5
"THK0178",11,1,"THK",0.5
"ENG2010",2,1,"ENG",-0.5
"THK0046",4,1,"THK",0.5
"THK0073",14,1,"THK",0.5
"ENG4022",3,NA,"ENG",-0.5
"THK0295",5,0,"THK",0.5
"THK0202",3,1,"THK",0.5
"THK0055",12,NA,"THK",0.5
"THK0073",4,0,"THK",0.5
"THK0034",12,NA,"THK",0.5
"THK0202",5,1,"THK",0.5
"THK0178",3,0,"THK",0.5
"ENG4020",9,0,"ENG",-0.5
"ENG5004",8,1,"ENG",-0.5
"THK0082",13,1,"THK",0.5
"ENG4020",11,0,"ENG",-0.5
"ENG2012",2,1,"ENG",-0.5
"ENG2008",9,1,"ENG",-0.5
"ENG5002",13,0,"ENG",-0.5
"ENG5010",11,1,"ENG",-0.5
"ENG4024",7,1,"ENG",-0.5
"THK0073",1,NA,"THK",0.5
"ENG4006",6,NA,"ENG",-0.5
"ENG4022",7,1,"ENG",-0.5
"ENG5008",3,1,"ENG",-0.5
"ENG4012",11,1,"ENG",-0.5
"THK0154",10,0,"THK",0.5
"ENG4022",10,1,"ENG",-0.5
"ENG4016",3,0,"ENG",-0.5
"ENG2012",10,1,"ENG",-0.5
"ENG2022",13,1,"ENG",-0.5
"ENG5006",5,1,"ENG",-0.5
"ENG4012",1,1,"ENG",-0.5
"THK0283",10,1,"THK",0.5
"THK0076",9,1,"THK",0.5
"THK0022",10,0,"THK",0.5
"ENG2016",10,1,"ENG",-0.5
"ENG5002",6,0,"ENG",-0.5
"ENG4022",9,1,"ENG",-0.5
"ENG5008",1,1,"ENG",-0.5
"ENG2020",11,1,"ENG",-0.5
"THK0136",14,0,"THK",0.5
"THK0034",5,1,"THK",0.5
"THK0082",13,1,"THK",0.5
"ENG3008",6,1,"ENG",-0.5
"THK0073",4,0,"THK",0.5
"ENG4016",3,0,"ENG",-0.5
"THK0022",7,1,"THK",0.5
"ENG4016",10,1,"ENG",-0.5
"ENG4024",4,1,"ENG",-0.5
"THK0181",0,1,"THK",0.5
"ENG4024",15,1,"ENG",-0.5
"ENG2020",10,1,"ENG",-0.5
"ENG5008",6,NA,"ENG",-0.5
"THK0181",7,1,"THK",0.5
"ENG4008",1,1,"ENG",-0.5
"ENG2022",9,1,"ENG",-0.5
"ENG2018",3,1,"ENG",-0.5
"ENG4002",3,1,"ENG",-0.5
"THK0193",4,1,"THK",0.5
"THK0178",3,0,"THK",0.5
"ENG4020",12,0,"ENG",-0.5
"ENG2014",2,1,"ENG",-0.5
"ENG2020",10,1,"ENG",-0.5
"ENG4020",4,0,"ENG",-0.5
"THK0082",0,1,"THK",0.5
"ENG4022",14,1,"ENG",-0.5
"ENG5008",1,1,"ENG",-0.5
"THK0331",7,1,"THK",0.5
"THK0286",9,1,"THK",0.5
"ENG2006",15,1,"ENG",-0.5
"ENG3006",10,1,"ENG",-0.5
"THK0328",0,1,"THK",0.5
"THK0046",5,1,"THK",0.5
"ENG5004",15,1,"ENG",-0.5
"THK0076",12,1,"THK",0.5
"THK0076",5,1,"THK",0.5
"THK0328",9,1,"THK",0.5
"THK0022",4,0,"THK",0.5
"THK0178",10,1,"THK",0.5
"THK0295",0,NA,"THK",0.5
"ENG5006",15,1,"ENG",-0.5
"ENG5008",8,1,"ENG",-0.5
"THK0202",3,1,"THK",0.5
"ENG2008",14,1,"ENG",-0.5
"ENG2014",11,1,"ENG",-0.5
"THK0331",5,1,"THK",0.5
"ENG4022",1,1,"ENG",-0.5
"THK0076",5,1,"THK",0.5
"THK0022",1,0,"THK",0.5
"ENG2016",5,1,"ENG",-0.5
"THK0286",2,0,"THK",0.5
"ENG4006",8,0,"ENG",-0.5
"THK0331",15,1,"THK",0.5
"ENG5004",5,1,"ENG",-0.5
"THK0055",3,1,"THK",0.5
"THK0295",2,0,"THK",0.5
"ENG2018",9,1,"ENG",-0.5
"THK0286",15,1,"THK",0.5
"THK0286",4,0,"THK",0.5
"ENG4010",13,1,"ENG",-0.5
"THK0193",4,1,"THK",0.5
"ENG4010",12,1,"ENG",-0.5
"THK0202",9,1,"THK",0.5
"ENG4014",1,1,"ENG",-0.5
"ENG5006",11,1,"ENG",-0.5
"ENG4018",2,1,"ENG",-0.5
"THK0082",15,NA,"THK",0.5
"ENG2020",4,1,"ENG",-0.5
"ENG2018",14,1,"ENG",-0.5
"ENG2010",13,1,"ENG",-0.5
"ENG2014",2,1,"ENG",-0.5
"THK0046",11,1,"THK",0.5
"THK0049",10,1,"THK",0.5
"ENG2006",7,1,"ENG",-0.5
"THK0250",5,1,"THK",0.5
"ENG2016",14,1,"ENG",-0.5
"THK0328",1,1,"THK",0.5
"THK0022",4,0,"THK",0.5
"ENG4018",8,1,"ENG",-0.5
"ENG4024",10,1,"ENG",-0.5
"ENG2010",10,1,"ENG",-0.5
"THK0076",3,1,"THK",0.5
"ENG3008",3,1,"ENG",-0.5
"ENG4022",4,1,"ENG",-0.5
"ENG2020",8,1,"ENG",-0.5
"THK0181",10,1,"THK",0.5
"THK0295",13,0,"THK",0.5
"ENG4020",12,0,"ENG",-0.5
"THK0283",5,1,"THK",0.5
"THK0034",1,0,"THK",0.5
"ENG5010",1,1,"ENG",-0.5
"ENG4004",3,1,"ENG",-0.5
"ENG4014",13,1,"ENG",-0.5
"THK0046",9,1,"THK",0.5
"ENG5010",15,1,"ENG",-0.5
"ENG4002",4,1,"ENG",-0.5
"THK0328",12,1,"THK",0.5
"ENG4016",8,1,"ENG",-0.5
"THK0034",9,1,"THK",0.5
"ENG4016",0,NA,"ENG",-0.5
"ENG4018",14,1,"ENG",-0.5
"ENG4020",8,0,"ENG",-0.5
"ENG4004",14,1,"ENG",-0.5
"ENG2010",5,1,"ENG",-0.5
"THK0283",4,1,"THK",0.5
"THK0046",5,1,"THK",0.5
"THK0181",14,1,"THK",0.5
"ENG2020",10,1,"ENG",-0.5
"ENG4022",5,1,"ENG",-0.5
"THK0136",15,0,"THK",0.5
"THK0328",7,1,"THK",0.5
"ENG4020",13,0,"ENG",-0.5
"ENG4018",9,1,"ENG",-0.5
"THK0181",11,1,"THK",0.5
"THK0331",11,1,"THK",0.5
"THK0181",11,1,"THK",0.5
"ENG4024",6,1,"ENG",-0.5
"ENG4002",11,1,"ENG",-0.5
"ENG4020",7,0,"ENG",-0.5
"THK0046",12,1,"THK",0.5
"THK0073",6,1,"THK",0.5
"THK0331",1,1,"THK",0.5
"ENG5010",15,1,"ENG",-0.5
"ENG5008",8,1,"ENG",-0.5
"ENG2014",0,1,"ENG",-0.5
"THK0082",4,1,"THK",0.5
"ENG4016",0,NA,"ENG",-0.5
"ENG5004",15,1,"ENG",-0.5
"ENG4006",1,NA,"ENG",-0.5
"ENG2022",3,1,"ENG",-0.5
"THK0193",2,1,"THK",0.5
"ENG2002",7,0,"ENG",-0.5
"ENG2012",4,1,"ENG",-0.5
"THK0055",14,0,"THK",0.5
"THK0331",7,1,"THK",0.5
"ENG4016",3,0,"ENG",-0.5
"ENG5010",4,1,"ENG",-0.5
"THK0073",3,NA,"THK",0.5
"THK0049",10,1,"THK",0.5
"THK0136",11,0,"THK",0.5
"ENG4024",7,1,"ENG",-0.5
"ENG3006",6,1,"ENG",-0.5
"THK0022",12,NA,"THK",0.5
"THK0082",7,1,"THK",0.5
"ENG4018",12,1,"ENG",-0.5
"ENG3008",4,1,"ENG",-0.5
"THK0049",3,1,"THK",0.5
"ENG4012",15,1,"ENG",-0.5
"ENG2008",8,1,"ENG",-0.5
"THK0250",11,1,"THK",0.5
"ENG5006",0,1,"ENG",-0.5
"THK0193",9,1,"THK",0.5
"ENG4016",10,1,"ENG",-0.5
"ENG2020",14,1,"ENG",-0.5
"THK0328",12,1,"THK",0.5
"THK0154",10,0,"THK",0.5
"THK0181",6,1,"THK",0.5
"ENG2010",9,1,"ENG",-0.5
"THK0181",8,1,"THK",0.5
"ENG2022",5,1,"ENG",-0.5
"THK0082",15,NA,"THK",0.5
"ENG2016",13,1,"ENG",-0.5
"ENG4008",11,1,"ENG",-0.5
"ENG2016",13,1,"ENG",-0.5
"THK0049",9,1,"THK",0.5
"THK0049",1,1,"THK",0.5
"ENG4024",10,1,"ENG",-0.5
"THK0076",5,1,"THK",0.5
"THK0328",8,1,"THK",0.5
"ENG4020",12,0,"ENG",-0.5
"ENG4006",10,0,"ENG",-0.5
"THK0082",13,1,"THK",0.5
"ENG2012",0,1,"ENG",-0.5
"ENG2014",3,1,"ENG",-0.5
"ENG5008",0,NA,"ENG",-0.5
"ENG4014",11,1,"ENG",-0.5
"ENG3006",9,1,"ENG",-0.5
"THK0193",5,1,"THK",0.5
"ENG3006",1,0,"ENG",-0.5
"THK0283",0,1,"THK",0.5
"ENG2022",4,1,"ENG",-0.5
"ENG4014",2,1,"ENG",-0.5
"THK0283",1,1,"THK",0.5
"ENG4004",4,1,"ENG",-0.5
"ENG2014",14,1,"ENG",-0.5
"ENG4004",1,1,"ENG",-0.5
"THK0178",9,1,"THK",0.5
"ENG5004",9,1,"ENG",-0.5
"ENG4002",14,1,"ENG",-0.5
"THK0178",7,1,"THK",0.5
"ENG2022",10,1,"ENG",-0.5
"ENG3008",13,1,"ENG",-0.5
"THK0055",9,NA,"THK",0.5
"ENG4018",8,1,"ENG",-0.5
"ENG2006",3,1,"ENG",-0.5
"THK0193",2,1,"THK",0.5
"ENG4024",7,1,"ENG",-0.5
"ENG2022",6,1,"ENG",-0.5
"THK0073",13,1,"THK",0.5
"ENG2020",10,1,"ENG",-0.5
"ENG4020",6,0,"ENG",-0.5
"ENG5006",8,1,"ENG",-0.5
"THK0202",12,1,"THK",0.5
"ENG4014",1,1,"ENG",-0.5
"THK0178",2,1,"THK",0.5
"ENG2010",15,1,"ENG",-0.5
"ENG2022",8,1,"ENG",-0.5
"THK0283",11,1,"THK",0.5
"ENG4014",5,1,"ENG",-0.5
"ENG4006",9,0,"ENG",-0.5
"ENG5008",12,1,"ENG",-0.5
"THK0250",13,1,"THK",0.5
"THK0202",10,1,"THK",0.5
"ENG3008",9,1,"ENG",-0.5
"ENG2008",7,1,"ENG",-0.5
"ENG4014",15,1,"ENG",-0.5
"ENG2022",3,1,"ENG",-0.5
"THK0178",12,1,"THK",0.5
"THK0034",13,1,"THK",0.5
"THK0202",4,1,"THK",0.5
"ENG2006",1,1,"ENG",-0.5
"THK0328",9,1,"THK",0.5
"ENG2014",12,1,"ENG",-0.5
"THK0055",6,1,"THK",0.5
"ENG2002",8,0,"ENG",-0.5
"ENG2002",5,0,"ENG",-0.5
"THK0178",8,1,"THK",0.5
"THK0250",12,1,"THK",0.5
"ENG2018",14,1,"ENG",-0.5
"ENG4024",10,1,"ENG",-0.5
"ENG2006",3,1,"ENG",-0.5
"ENG4010",3,1,"ENG",-0.5
"ENG3008",1,1,"ENG",-0.5
"THK0202",3,1,"THK",0.5
"ENG2012",4,1,"ENG",-0.5
"ENG4014",5,1,"ENG",-0.5
"ENG5002",13,0,"ENG",-0.5
"ENG2014",4,1,"ENG",-0.5
"ENG5002",13,0,"ENG",-0.5
"THK0046",15,1,"THK",0.5
"THK0136",7,0,"THK",0.5
"ENG2020",9,1,"ENG",-0.5
"THK0250",9,1,"THK",0.5
"ENG5004",0,1,"ENG",-0.5
"ENG4022",3,NA,"ENG",-0.5
"ENG4010",3,1,"ENG",-0.5
"ENG2016",1,1,"ENG",-0.5
"THK0046",15,1,"THK",0.5
"THK0286",3,0,"THK",0.5
"ENG4014",14,1,"ENG",-0.5
"THK0193",0,1,"THK",0.5
"THK0049",15,1,"THK",0.5
"THK0250",7,1,"THK",0.5
"THK0055",7,1,"THK",0.5
"ENG5010",5,1,"ENG",-0.5
"ENG3004",15,1,"ENG",-0.5
"ENG2018",5,1,"ENG",-0.5
"ENG2020",15,1,"ENG",-0.5
"ENG4006",8,0,"ENG",-0.5
"THK0034",2,1,"THK",0.5
"THK0193",3,1,"THK",0.5
"THK0082",8,1,"THK",0.5
"ENG2018",15,1,"ENG",-0.5
"ENG3004",11,1,"ENG",-0.5
"ENG4012",12,1,"ENG",-0.5
"THK0046",7,1,"THK",0.5
"ENG5004",3,1,"ENG",-0.5
"THK0295",1,NA,"THK",0.5
"THK0073",7,NA,"THK",0.5
"ENG2014",10,1,"ENG",-0.5
"THK0136",8,0,"THK",0.5
"ENG2012",11,1,"ENG",-0.5
"THK0082",14,1,"THK",0.5
"ENG4024",0,1,"ENG",-0.5
"ENG3004",9,1,"ENG",-0.5
"THK0022",1,0,"THK",0.5
"THK0286",8,0,"THK",0.5
"ENG2012",12,1,"ENG",-0.5
"ENG4012",9,1,"ENG",-0.5
"THK0178",4,1,"THK",0.5
"ENG2002",7,0,"ENG",-0.5
"THK0283",7,1,"THK",0.5
"ENG2012",4,1,"ENG",-0.5
"ENG2016",2,1,"ENG",-0.5
"THK0055",1,1,"THK",0.5
"ENG3004",3,1,"ENG",-0.5
"THK0073",3,NA,"THK",0.5
"ENG3004",14,1,"ENG",-0.5
"ENG2022",9,1,"ENG",-0.5
"ENG2018",14,1,"ENG",-0.5
"ENG2022",9,1,"ENG",-0.5
"ENG4012",7,1,"ENG",-0.5
"THK0286",5,0,"THK",0.5
"ENG5008",6,NA,"ENG",-0.5
"ENG2014",2,1,"ENG",-0.5
"THK0136",2,0,"THK",0.5
"ENG5010",13,1,"ENG",-0.5
"ENG2016",4,1,"ENG",-0.5
"THK0046",2,1,"THK",0.5
"THK0049",4,1,"THK",0.5
"ENG4006",7,0,"ENG",-0.5
"THK0250",13,1,"THK",0.5
"ENG2010",0,1,"ENG",-0.5
"THK0136",7,0,"THK",0.5
"THK0202",14,1,"THK",0.5
"ENG4014",9,1,"ENG",-0.5
"THK0202",11,1,"THK",0.5
"ENG2002",5,0,"ENG",-0.5
"ENG2012",1,1,"ENG",-0.5
"THK0082",0,1,"THK",0.5
"ENG5004",15,1,"ENG",-0.5
"ENG2002",15,0,"ENG",-0.5
"ENG2006",1,1,"ENG",-0.5
"ENG3008",2,1,"ENG",-0.5
"THK0328",13,1,"THK",0.5
"ENG4012",4,1,"ENG",-0.5
"ENG4016",10,1,"ENG",-0.5
"THK0178",13,1,"THK",0.5
"ENG4010",9,1,"ENG",-0.5
"ENG2022",13,1,"ENG",-0.5
"ENG4002",5,1,"ENG",-0.5
"ENG5006",6,1,"ENG",-0.5
"THK0055",0,1,"THK",0.5
"THK0331",8,1,"THK",0.5
"ENG2002",2,0,"ENG",-0.5
"THK0055",12,NA,"THK",0.5
"THK0022",8,0,"THK",0.5
"ENG3008",7,1,"ENG",-0.5
"ENG3004",3,1,"ENG",-0.5
"THK0076",9,1,"THK",0.5
"THK0076",15,1,"THK",0.5
"ENG4020",9,0,"ENG",-0.5
"THK0055",14,0,"THK",0.5
"ENG2020",5,1,"ENG",-0.5
"THK0250",13,1,"THK",0.5
"ENG4008",2,1,"ENG",-0.5
"ENG4016",8,1,"ENG",-0.5
"ENG5004",4,1,"ENG",-0.5
"THK0049",13,1,"THK",0.5
"ENG2010",14,1,"ENG",-0.5
"THK0286",8,0,"THK",0.5
"THK0193",12,1,"THK",0.5
"ENG2022",14,1,"ENG",-0.5
