"sujet","trialNo","homo","population","populationC"
"ENG4020",14,0,"ENG",-0.5
"ENG3004",13,1,"ENG",-0.5
"ENG4012",8,1,"ENG",-0.5
"ENG2006",14,1,"ENG",-0.5
"ENG5006",1,1,"ENG",-0.5
"ENG2010",3,1,"ENG",-0.5
"ENG4010",10,1,"ENG",-0.5
"ENG2016",14,1,"ENG",-0.5
"THK0250",14,1,"THK",0.5
"ENG2012",5,1,"ENG",-0.5
"THK0286",14,1,"THK",0.5
"ENG4018",2,1,"ENG",-0.5
"ENG4004",13,1,"ENG",-0.5
"THK0283",13,1,"THK",0.5
"ENG4022",6,1,"ENG",-0.5
"THK0046",10,1,"THK",0.5
"ENG3006",2,1,"ENG",-0.5
"ENG2012",8,1,"ENG",-0.5
"ENG4012",10,NA,"ENG",-0.5
"ENG2018",10,1,"ENG",-0.5
"ENG4016",10,1,"ENG",-0.5
"ENG4006",12,1,"ENG",-0.5
"ENG4024",6,1,"ENG",-0.5
"THK0073",13,NA,"THK",0.5
"ENG4020",14,0,"ENG",-0.5
"ENG4020",1,0,"ENG",-0.5
"ENG4008",3,1,"ENG",-0.5
"THK0202",10,1,"THK",0.5
"THK0295",1,0,"THK",0.5
"THK0286",10,1,"THK",0.5
"THK0181",2,1,"THK",0.5
"ENG4020",7,0,"ENG",-0.5
"ENG3008",1,1,"ENG",-0.5
"THK0082",2,1,"THK",0.5
"ENG4014",4,1,"ENG",-0.5
"ENG4004",6,1,"ENG",-0.5
"THK0202",3,1,"THK",0.5
"ENG4012",1,1,"ENG",-0.5
"ENG3006",6,1,"ENG",-0.5
"ENG3004",8,1,"ENG",-0.5
"THK0154",10,0,"THK",0.5
"ENG2018",2,1,"ENG",-0.5
"THK0154",5,1,"THK",0.5
"ENG2014",11,1,"ENG",-0.5
"THK0076",13,1,"THK",0.5
"THK0055",1,1,"THK",0.5
"ENG4006",8,1,"ENG",-0.5
"ENG2006",12,1,"ENG",-0.5
"ENG5008",1,1,"ENG",-0.5
"ENG2016",15,1,"ENG",-0.5
"THK0136",14,1,"THK",0.5
"ENG5006",6,1,"ENG",-0.5
"ENG4004",6,1,"ENG",-0.5
"THK0178",1,1,"THK",0.5
"ENG4020",5,0,"ENG",-0.5
"ENG4020",4,0,"ENG",-0.5
"ENG4014",8,1,"ENG",-0.5
"ENG5002",12,0,"ENG",-0.5
"ENG2008",13,1,"ENG",-0.5
"THK0046",6,1,"THK",0.5
"ENG2014",0,1,"ENG",-0.5
"ENG2018",6,1,"ENG",-0.5
"ENG4024",14,1,"ENG",-0.5
"ENG2022",10,1,"ENG",-0.5
"THK0073",4,1,"THK",0.5
"ENG2014",2,1,"ENG",-0.5
"ENG2018",1,1,"ENG",-0.5
"THK0193",5,1,"THK",0.5
"THK0046",2,1,"THK",0.5
"ENG2016",6,1,"ENG",-0.5
"ENG2022",2,1,"ENG",-0.5
"ENG4010",5,1,"ENG",-0.5
"ENG4020",4,0,"ENG",-0.5
"THK0283",15,1,"THK",0.5
"THK0202",12,1,"THK",0.5
"ENG4006",1,NA,"ENG",-0.5
"THK0331",4,1,"THK",0.5
"ENG4022",2,1,"ENG",-0.5
"ENG4006",8,0,"ENG",-0.5
"ENG4006",11,0,"ENG",-0.5
"ENG5004",6,1,"ENG",-0.5
"ENG4014",1,1,"ENG",-0.5
"ENG4002",11,1,"ENG",-0.5
"ENG4010",5,1,"ENG",-0.5
"THK0286",3,NA,"THK",0.5
"ENG4016",9,1,"ENG",-0.5
"THK0295",0,0,"THK",0.5
"THK0022",12,NA,"THK",0.5
"ENG5006",0,1,"ENG",-0.5
"THK0202",3,1,"THK",0.5
"THK0283",9,1,"THK",0.5
"THK0331",5,NA,"THK",0.5
"ENG4016",12,1,"ENG",-0.5
"THK0034",0,1,"THK",0.5
"THK0193",15,1,"THK",0.5
"ENG3006",13,1,"ENG",-0.5
"ENG4022",6,1,"ENG",-0.5
"ENG2008",12,1,"ENG",-0.5
"ENG4004",6,1,"ENG",-0.5
"ENG4014",12,1,"ENG",-0.5
"THK0076",11,1,"THK",0.5
"ENG4008",8,1,"ENG",-0.5
"ENG2006",11,1,"ENG",-0.5
"ENG4004",6,1,"ENG",-0.5
"ENG2006",4,1,"ENG",-0.5
"ENG5010",15,1,"ENG",-0.5
"THK0034",13,1,"THK",0.5
"THK0136",8,NA,"THK",0.5
"THK0022",9,NA,"THK",0.5
"ENG2006",9,1,"ENG",-0.5
"ENG5008",4,1,"ENG",-0.5
"THK0328",13,1,"THK",0.5
"ENG2014",9,1,"ENG",-0.5
"THK0136",15,1,"THK",0.5
"ENG5010",8,1,"ENG",-0.5
"ENG4014",10,1,"ENG",-0.5
"ENG2014",13,1,"ENG",-0.5
"ENG3006",4,1,"ENG",-0.5
"ENG3008",12,1,"ENG",-0.5
"ENG4018",0,1,"ENG",-0.5
"ENG4020",11,1,"ENG",-0.5
"ENG2010",8,1,"ENG",-0.5
"THK0193",6,1,"THK",0.5
"THK0046",6,1,"THK",0.5
"ENG5010",12,1,"ENG",-0.5
"THK0073",4,NA,"THK",0.5
"ENG4014",2,NA,"ENG",-0.5
"ENG4008",9,1,"ENG",-0.5
"THK0034",2,1,"THK",0.5
"THK0034",10,NA,"THK",0.5
"ENG4014",0,1,"ENG",-0.5
"ENG2014",5,1,"ENG",-0.5
"ENG2022",3,1,"ENG",-0.5
"ENG2016",2,1,"ENG",-0.5
"ENG4020",15,0,"ENG",-0.5
"ENG5010",12,1,"ENG",-0.5
"THK0049",3,1,"THK",0.5
"ENG4008",14,1,"ENG",-0.5
"ENG2010",8,1,"ENG",-0.5
"THK0328",12,1,"THK",0.5
"ENG4016",0,1,"ENG",-0.5
"ENG2002",1,0,"ENG",-0.5
"ENG3008",15,1,"ENG",-0.5
"ENG5002",6,1,"ENG",-0.5
"ENG2002",10,0,"ENG",-0.5
"THK0034",1,1,"THK",0.5
"THK0193",2,1,"THK",0.5
"THK0082",5,1,"THK",0.5
"THK0193",2,1,"THK",0.5
"ENG4006",6,0,"ENG",-0.5
"ENG4006",15,0,"ENG",-0.5
"THK0283",12,1,"THK",0.5
"ENG2010",10,1,"ENG",-0.5
"ENG5006",13,NA,"ENG",-0.5
"THK0283",7,1,"THK",0.5
"THK0034",9,1,"THK",0.5
"THK0073",1,NA,"THK",0.5
"ENG2022",6,1,"ENG",-0.5
"ENG2014",7,1,"ENG",-0.5
"THK0076",15,1,"THK",0.5
"ENG4002",10,1,"ENG",-0.5
"THK0073",5,1,"THK",0.5
"ENG2012",4,1,"ENG",-0.5
"ENG4014",4,1,"ENG",-0.5
"THK0193",7,1,"THK",0.5
"ENG5006",15,1,"ENG",-0.5
"ENG4008",5,1,"ENG",-0.5
"ENG4018",7,1,"ENG",-0.5
"ENG4006",9,0,"ENG",-0.5
"ENG2022",9,1,"ENG",-0.5
"ENG5006",1,1,"ENG",-0.5
"THK0055",13,NA,"THK",0.5
"THK0328",7,1,"THK",0.5
"THK0034",5,1,"THK",0.5
"ENG2020",0,1,"ENG",-0.5
"ENG4012",8,1,"ENG",-0.5
"ENG4014",0,1,"ENG",-0.5
"ENG3006",13,1,"ENG",-0.5
"ENG3008",7,1,"ENG",-0.5
"THK0022",11,0,"THK",0.5
"ENG5010",13,1,"ENG",-0.5
"ENG2018",9,1,"ENG",-0.5
"ENG4024",6,1,"ENG",-0.5
"ENG2016",4,1,"ENG",-0.5
"THK0202",7,1,"THK",0.5
"THK0328",9,1,"THK",0.5
"ENG4012",1,1,"ENG",-0.5
"THK0250",3,NA,"THK",0.5
"ENG5006",14,1,"ENG",-0.5
"THK0178",2,1,"THK",0.5
"THK0202",4,1,"THK",0.5
"ENG4010",10,1,"ENG",-0.5
"THK0022",15,1,"THK",0.5
"ENG3008",4,1,"ENG",-0.5
"THK0154",5,NA,"THK",0.5
"ENG4018",11,1,"ENG",-0.5
"ENG4004",2,1,"ENG",-0.5
"ENG2010",3,1,"ENG",-0.5
"ENG4014",12,1,"ENG",-0.5
"ENG2010",2,1,"ENG",-0.5
"ENG2006",4,NA,"ENG",-0.5
"ENG4022",0,1,"ENG",-0.5
"ENG4022",2,1,"ENG",-0.5
"THK0154",2,NA,"THK",0.5
"ENG4022",12,1,"ENG",-0.5
"ENG2006",15,1,"ENG",-0.5
"THK0136",4,0,"THK",0.5
"ENG2022",12,1,"ENG",-0.5
"THK0034",11,1,"THK",0.5
"ENG3008",8,1,"ENG",-0.5
"THK0049",7,1,"THK",0.5
"ENG2002",13,0,"ENG",-0.5
"ENG5006",3,1,"ENG",-0.5
"THK0034",2,1,"THK",0.5
"THK0046",0,1,"THK",0.5
"ENG2022",5,1,"ENG",-0.5
"THK0073",1,1,"THK",0.5
"THK0082",9,NA,"THK",0.5
"ENG2014",4,1,"ENG",-0.5
"THK0331",8,1,"THK",0.5
"ENG4016",0,1,"ENG",-0.5
"THK0295",2,0,"THK",0.5
"ENG2016",13,1,"ENG",-0.5
"THK0082",11,1,"THK",0.5
"ENG2002",1,0,"ENG",-0.5
"ENG4002",14,1,"ENG",-0.5
"ENG3006",5,1,"ENG",-0.5
"ENG4004",10,1,"ENG",-0.5
"THK0046",2,1,"THK",0.5
"ENG3006",6,1,"ENG",-0.5
"THK0034",12,NA,"THK",0.5
"ENG4016",12,1,"ENG",-0.5
"THK0250",5,1,"THK",0.5
"THK0073",11,NA,"THK",0.5
"ENG2012",13,1,"ENG",-0.5
"THK0136",14,0,"THK",0.5
"ENG5008",13,1,"ENG",-0.5
"THK0283",13,1,"THK",0.5
"ENG4016",7,NA,"ENG",-0.5
"ENG2016",8,1,"ENG",-0.5
"ENG4002",5,1,"ENG",-0.5
"THK0328",1,1,"THK",0.5
"ENG2020",15,1,"ENG",-0.5
"ENG5008",11,1,"ENG",-0.5
"ENG4020",11,0,"ENG",-0.5
"ENG2010",3,1,"ENG",-0.5
"ENG2008",3,1,"ENG",-0.5
"THK0055",4,1,"THK",0.5
"ENG4020",7,0,"ENG",-0.5
"THK0046",0,1,"THK",0.5
"ENG3004",15,1,"ENG",-0.5
"ENG2022",14,1,"ENG",-0.5
"THK0250",9,1,"THK",0.5
"THK0154",2,NA,"THK",0.5
"THK0250",0,1,"THK",0.5
"THK0295",0,0,"THK",0.5
"ENG5010",3,1,"ENG",-0.5
"ENG2018",2,1,"ENG",-0.5
"ENG2006",12,1,"ENG",-0.5
"ENG4014",8,1,"ENG",-0.5
"ENG4018",0,1,"ENG",-0.5
"ENG4002",6,1,"ENG",-0.5
"THK0154",15,0,"THK",0.5
"ENG4014",8,1,"ENG",-0.5
"ENG4022",6,1,"ENG",-0.5
"THK0076",6,1,"THK",0.5
"ENG2012",10,1,"ENG",-0.5
"ENG5002",9,0,"ENG",-0.5
"THK0022",9,0,"THK",0.5
"ENG4014",12,1,"ENG",-0.5
"ENG5008",4,1,"ENG",-0.5
"ENG2022",14,1,"ENG",-0.5
"THK0193",10,1,"THK",0.5
"ENG4022",1,1,"ENG",-0.5
"ENG4014",13,1,"ENG",-0.5
"THK0193",12,1,"THK",0.5
"THK0073",9,1,"THK",0.5
"ENG2022",2,1,"ENG",-0.5
"THK0049",0,1,"THK",0.5
"THK0055",9,NA,"THK",0.5
"ENG5006",14,1,"ENG",-0.5
"ENG4022",4,1,"ENG",-0.5
"ENG3008",9,1,"ENG",-0.5
"ENG2020",6,NA,"ENG",-0.5
"ENG5006",8,1,"ENG",-0.5
"ENG2010",15,1,"ENG",-0.5
"THK0181",6,1,"THK",0.5
"ENG5008",14,1,"ENG",-0.5
"THK0022",10,0,"THK",0.5
"ENG2008",10,1,"ENG",-0.5
"ENG2022",0,1,"ENG",-0.5
"ENG2016",2,1,"ENG",-0.5
"ENG2008",15,NA,"ENG",-0.5
"ENG4010",5,1,"ENG",-0.5
"THK0202",10,1,"THK",0.5
"ENG4024",1,1,"ENG",-0.5
"THK0295",7,NA,"THK",0.5
"ENG5002",8,0,"ENG",-0.5
"THK0202",3,1,"THK",0.5
"ENG4016",2,NA,"ENG",-0.5
"THK0034",14,1,"THK",0.5
"ENG4002",14,1,"ENG",-0.5
"ENG4008",2,1,"ENG",-0.5
"ENG2020",2,1,"ENG",-0.5
"THK0049",11,1,"THK",0.5
"ENG5006",14,1,"ENG",-0.5
"ENG2006",4,1,"ENG",-0.5
"ENG5008",3,1,"ENG",-0.5
"THK0193",3,1,"THK",0.5
"ENG5004",8,1,"ENG",-0.5
"THK0331",12,1,"THK",0.5
"ENG2012",5,1,"ENG",-0.5
"ENG4014",1,1,"ENG",-0.5
"THK0181",14,1,"THK",0.5
"ENG2010",14,1,"ENG",-0.5
"THK0082",2,1,"THK",0.5
"THK0136",9,0,"THK",0.5
"THK0283",6,1,"THK",0.5
"THK0046",2,1,"THK",0.5
"THK0046",12,1,"THK",0.5
"ENG5004",11,1,"ENG",-0.5
"ENG2020",1,1,"ENG",-0.5
"ENG4018",11,1,"ENG",-0.5
"THK0034",9,1,"THK",0.5
"ENG2014",8,1,"ENG",-0.5
"ENG2002",4,0,"ENG",-0.5
"ENG5006",8,1,"ENG",-0.5
"ENG2018",15,1,"ENG",-0.5
"ENG5006",12,NA,"ENG",-0.5
"THK0076",7,1,"THK",0.5
"THK0178",0,1,"THK",0.5
"THK0082",8,1,"THK",0.5
"THK0193",3,1,"THK",0.5
"ENG3008",14,1,"ENG",-0.5
"ENG3004",15,1,"ENG",-0.5
"ENG2008",4,1,"ENG",-0.5
"THK0073",1,NA,"THK",0.5
"ENG5002",1,0,"ENG",-0.5
"ENG2018",1,1,"ENG",-0.5
"ENG4008",6,1,"ENG",-0.5
"ENG4014",13,1,"ENG",-0.5
"ENG2008",12,1,"ENG",-0.5
"ENG4002",4,1,"ENG",-0.5
"THK0250",8,1,"THK",0.5
"ENG4020",10,0,"ENG",-0.5
"ENG5002",13,0,"ENG",-0.5
"THK0250",10,1,"THK",0.5
"ENG4016",2,1,"ENG",-0.5
"ENG4012",3,1,"ENG",-0.5
"ENG2022",5,1,"ENG",-0.5
"ENG2018",9,1,"ENG",-0.5
"ENG4020",14,0,"ENG",-0.5
"ENG5006",15,1,"ENG",-0.5
"ENG2022",12,1,"ENG",-0.5
"ENG3008",11,1,"ENG",-0.5
"THK0034",5,NA,"THK",0.5
"THK0331",2,1,"THK",0.5
"ENG2018",11,1,"ENG",-0.5
"ENG4004",9,1,"ENG",-0.5
"ENG5002",9,0,"ENG",-0.5
"ENG4004",0,1,"ENG",-0.5
"THK0154",14,0,"THK",0.5
"ENG3006",3,1,"ENG",-0.5
"THK0295",6,NA,"THK",0.5
"ENG5010",1,1,"ENG",-0.5
"THK0076",8,1,"THK",0.5
"THK0178",4,1,"THK",0.5
"ENG4016",13,1,"ENG",-0.5
"ENG2002",7,0,"ENG",-0.5
"ENG2014",14,NA,"ENG",-0.5
"ENG5006",4,1,"ENG",-0.5
"ENG2010",5,1,"ENG",-0.5
"ENG2020",2,1,"ENG",-0.5
"ENG2010",2,1,"ENG",-0.5
"ENG5006",9,1,"ENG",-0.5
"ENG4024",14,1,"ENG",-0.5
"THK0049",4,1,"THK",0.5
"THK0286",2,1,"THK",0.5
"ENG4008",12,1,"ENG",-0.5
"ENG4002",0,1,"ENG",-0.5
"THK0181",5,1,"THK",0.5
"ENG5004",14,1,"ENG",-0.5
"ENG3008",2,1,"ENG",-0.5
"THK0250",11,1,"THK",0.5
"ENG4022",10,1,"ENG",-0.5
"ENG3008",9,1,"ENG",-0.5
"ENG2002",9,1,"ENG",-0.5
"ENG2010",12,1,"ENG",-0.5
"ENG2022",14,1,"ENG",-0.5
"THK0295",1,NA,"THK",0.5
"ENG4020",7,0,"ENG",-0.5
"THK0178",7,1,"THK",0.5
"ENG4024",5,1,"ENG",-0.5
"THK0286",2,1,"THK",0.5
"ENG4014",13,1,"ENG",-0.5
"THK0331",5,1,"THK",0.5
"ENG4012",9,NA,"ENG",-0.5
"ENG5010",7,1,"ENG",-0.5
"ENG5004",3,1,"ENG",-0.5
"ENG4016",8,1,"ENG",-0.5
"ENG5010",5,1,"ENG",-0.5
"ENG5006",12,1,"ENG",-0.5
"ENG2018",0,1,"ENG",-0.5
"ENG3004",9,1,"ENG",-0.5
"THK0022",7,0,"THK",0.5
"THK0250",8,1,"THK",0.5
"THK0076",10,1,"THK",0.5
"ENG4024",14,1,"ENG",-0.5
"ENG5008",6,1,"ENG",-0.5
"ENG4020",7,0,"ENG",-0.5
"THK0022",11,0,"THK",0.5
"ENG2020",4,1,"ENG",-0.5
"ENG3004",7,1,"ENG",-0.5
"THK0046",12,1,"THK",0.5
"ENG4024",3,NA,"ENG",-0.5
"ENG4014",15,1,"ENG",-0.5
"ENG4006",3,0,"ENG",-0.5
"ENG4012",2,1,"ENG",-0.5
"THK0283",13,1,"THK",0.5
"THK0154",11,0,"THK",0.5
"THK0082",14,1,"THK",0.5
"ENG4004",8,1,"ENG",-0.5
"ENG2014",9,1,"ENG",-0.5
"THK0034",9,1,"THK",0.5
"ENG4024",1,1,"ENG",-0.5
"THK0082",7,1,"THK",0.5
"THK0055",6,1,"THK",0.5
"THK0034",2,1,"THK",0.5
"THK0082",4,1,"THK",0.5
"ENG5006",13,1,"ENG",-0.5
"THK0181",6,1,"THK",0.5
"ENG4020",0,NA,"ENG",-0.5
"THK0295",11,0,"THK",0.5
"ENG3008",8,1,"ENG",-0.5
"ENG2016",2,1,"ENG",-0.5
"ENG4022",11,1,"ENG",-0.5
"THK0286",8,1,"THK",0.5
"ENG2006",3,1,"ENG",-0.5
"THK0022",15,0,"THK",0.5
"THK0034",0,1,"THK",0.5
"THK0154",2,0,"THK",0.5
"THK0154",14,1,"THK",0.5
"ENG3006",12,1,"ENG",-0.5
"ENG2002",11,0,"ENG",-0.5
"ENG2014",6,1,"ENG",-0.5
"THK0022",0,0,"THK",0.5
"ENG4002",15,1,"ENG",-0.5
"THK0034",5,1,"THK",0.5
"ENG4004",12,1,"ENG",-0.5
"ENG5008",6,1,"ENG",-0.5
"ENG4010",14,NA,"ENG",-0.5
"THK0283",2,1,"THK",0.5
"ENG3004",2,1,"ENG",-0.5
"THK0049",11,1,"THK",0.5
"THK0328",8,1,"THK",0.5
"ENG2020",5,1,"ENG",-0.5
"ENG5002",4,0,"ENG",-0.5
"ENG3008",5,1,"ENG",-0.5
"ENG2012",11,NA,"ENG",-0.5
"THK0181",6,1,"THK",0.5
"ENG4020",6,0,"ENG",-0.5
"ENG5008",4,1,"ENG",-0.5
"THK0055",7,1,"THK",0.5
"THK0283",13,1,"THK",0.5
"ENG4012",15,1,"ENG",-0.5
"ENG3004",5,1,"ENG",-0.5
"ENG5002",7,1,"ENG",-0.5
"ENG3006",6,1,"ENG",-0.5
"ENG4016",3,NA,"ENG",-0.5
"THK0022",12,1,"THK",0.5
"ENG5004",5,1,"ENG",-0.5
"ENG4018",15,1,"ENG",-0.5
"THK0154",0,NA,"THK",0.5
"ENG2006",5,1,"ENG",-0.5
"ENG3008",7,1,"ENG",-0.5
"ENG2018",6,1,"ENG",-0.5
"THK0136",13,0,"THK",0.5
"ENG4016",15,NA,"ENG",-0.5
"ENG4020",11,0,"ENG",-0.5
"THK0046",3,1,"THK",0.5
"ENG2010",3,1,"ENG",-0.5
"ENG2006",1,1,"ENG",-0.5
"ENG5004",6,1,"ENG",-0.5
"ENG5006",3,1,"ENG",-0.5
"THK0331",8,1,"THK",0.5
"THK0082",5,NA,"THK",0.5
"ENG2012",8,NA,"ENG",-0.5
"THK0286",10,1,"THK",0.5
"THK0022",14,0,"THK",0.5
"ENG4004",2,1,"ENG",-0.5
"ENG5004",4,1,"ENG",-0.5
"THK0331",3,1,"THK",0.5
"ENG4012",12,1,"ENG",-0.5
"ENG5010",8,1,"ENG",-0.5
"THK0076",3,1,"THK",0.5
"ENG3004",15,1,"ENG",-0.5
"THK0076",6,1,"THK",0.5
"THK0202",1,1,"THK",0.5
"THK0022",13,0,"THK",0.5
"ENG4018",11,1,"ENG",-0.5
"THK0049",11,1,"THK",0.5
"THK0055",5,1,"THK",0.5
"ENG5002",5,0,"ENG",-0.5
"ENG2012",0,1,"ENG",-0.5
"THK0250",11,1,"THK",0.5
"THK0136",7,NA,"THK",0.5
"ENG3008",7,1,"ENG",-0.5
"THK0034",9,1,"THK",0.5
"ENG4006",13,0,"ENG",-0.5
"ENG4016",4,1,"ENG",-0.5
"ENG2014",1,1,"ENG",-0.5
"ENG4018",8,1,"ENG",-0.5
"ENG4024",5,1,"ENG",-0.5
"ENG2014",1,1,"ENG",-0.5
"ENG2010",7,1,"ENG",-0.5
"ENG3006",14,NA,"ENG",-0.5
"THK0073",4,NA,"THK",0.5
"ENG4012",5,1,"ENG",-0.5
"ENG2002",3,0,"ENG",-0.5
"ENG5002",10,0,"ENG",-0.5
"THK0055",0,NA,"THK",0.5
"ENG5004",5,1,"ENG",-0.5
"THK0328",14,1,"THK",0.5
"THK0328",3,1,"THK",0.5
"ENG3008",14,1,"ENG",-0.5
"THK0328",10,1,"THK",0.5
"THK0034",6,1,"THK",0.5
"THK0250",14,1,"THK",0.5
"THK0328",9,1,"THK",0.5
"ENG4016",3,1,"ENG",-0.5
"ENG2014",8,1,"ENG",-0.5
"ENG2002",5,0,"ENG",-0.5
"THK0181",3,1,"THK",0.5
"ENG2012",1,1,"ENG",-0.5
"THK0046",10,1,"THK",0.5
"ENG2022",3,1,"ENG",-0.5
"ENG2002",13,0,"ENG",-0.5
"THK0250",9,1,"THK",0.5
"THK0073",13,1,"THK",0.5
"THK0073",11,1,"THK",0.5
"THK0295",6,0,"THK",0.5
"THK0202",11,1,"THK",0.5
"THK0076",6,1,"THK",0.5
"ENG2014",8,1,"ENG",-0.5
"ENG2012",3,1,"ENG",-0.5
"ENG2006",5,1,"ENG",-0.5
"ENG2016",13,1,"ENG",-0.5
"ENG4004",2,1,"ENG",-0.5
"ENG2016",11,1,"ENG",-0.5
"ENG4012",12,1,"ENG",-0.5
"ENG4010",14,1,"ENG",-0.5
"ENG4008",10,1,"ENG",-0.5
"ENG5006",9,1,"ENG",-0.5
"ENG4020",10,0,"ENG",-0.5
"ENG4008",0,1,"ENG",-0.5
"ENG2008",7,1,"ENG",-0.5
"ENG5010",7,1,"ENG",-0.5
"ENG2018",13,1,"ENG",-0.5
"ENG5002",10,0,"ENG",-0.5
"ENG2020",6,1,"ENG",-0.5
"THK0034",3,1,"THK",0.5
"ENG4004",0,1,"ENG",-0.5
"ENG4014",11,1,"ENG",-0.5
"THK0178",14,1,"THK",0.5
"ENG2012",3,1,"ENG",-0.5
"THK0295",14,0,"THK",0.5
"THK0136",10,0,"THK",0.5
"ENG4022",2,1,"ENG",-0.5
"ENG4016",8,1,"ENG",-0.5
"ENG3004",14,1,"ENG",-0.5
"THK0055",14,1,"THK",0.5
"THK0202",5,1,"THK",0.5
"ENG4002",12,1,"ENG",-0.5
"ENG5004",10,1,"ENG",-0.5
"THK0076",9,1,"THK",0.5
"ENG2008",1,NA,"ENG",-0.5
"ENG4002",2,1,"ENG",-0.5
"ENG4020",15,0,"ENG",-0.5
"ENG2006",7,1,"ENG",-0.5
"ENG4024",10,1,"ENG",-0.5
"ENG2022",15,1,"ENG",-0.5
