"TimerPES_First.Click","TimerPES_Last.Click","TimerPES_Page.Submit","TimerPES_Click.Count","PES_1","PES_2","PES_3","PES_4","PES_5","PES_6","PES_7","PES_8","PES_9","PES_10","PES_11","PES_12","PES_13","PES_14","PES_15","PES_16","PES_17","PES_18","Gender","Faculty","Program","Year.Program","First.Semester","PA_profile"
7.916,172.247,50.304,21,4,4,4,2,3,5,3,2,2,2,3,4,3,2,4,4,4,5,"Female","Telfer School of Management","Biomedical sciences","2nd year","No","Light PA"
24.492,62.184,72.308,23,3,3,3,1,3,2,2,2,2,1,4,3,3,1,3,4,2,4,"Female","Faculty of Social Sciences","Biomedical Science","2nd year","Yes","Moderate PA"
3.742,156.793,116.93,19,3,3,2,2,3,2,2,1,2,1,3,2,2,2,3,2,4,2,"Female","Faculty of Science","Accounting","2nd year","No","Inactive"
1.299,112.736,300.143,29,3,2,4,2,3,2,3,2,3,1,3,2,4,4,3,1,3,2,"Male","Telfer School of Management","nursing","1st year","Yes","Inactive"
8.868,128.167,114.697,19,4,2,3,1,3,3,4,1,2,2,4,2,4,2,4,2,2,2,"Male","Faculty of Social Sciences","Economics","1st year","No","Moderate PA"
5.392,115.737,3435.314,32,3,2,5,1,4,3,3,4,3,1,3,2,5,1,5,2,4,2,"Female","Telfer School of Management","Management","2nd year","No","Light PA"
20.789,77.295,78.968,20,3,4,2,1,3,3,3,4,4,4,3,2,3,4,3,4,2,3,"Female","Faculty of Social Sciences","Psychology","2nd year","Yes","Inactive"
3.073,131.214,78.985,20,3,2,2,2,3,4,3,3,4,1,5,5,2,2,2,1,2,5,"Female","Telfer School of Management","Finance","2nd year","Yes","Moderate PA"
12.423,83.813,53.771,26,3,2,4,4,1,3,5,1,3,1,3,3,5,2,4,2,2,4,"Female","Faculty of Social Sciences","biomedical science","2nd year","Yes","Inactive"
2.236,71.577,94.252,18,3,2,4,2,5,3,3,1,4,2,4,2,4,2,4,4,2,3,"Female","Faculty of Science","Psychology","1st year","Yes","Vigorous PA"
1.785,108.432,68.681,23,4,2,2,3,3,3,3,1,3,5,2,2,5,2,5,4,3,2,"Female","Faculty of Health Sciences","Biomedical science","1st year","No","Vigorous PA"
6.849,444.48,384.074,20,4,4,5,4,4,4,4,4,4,1,3,3,2,1,3,3,1,2,"Female","Faculty of Health Sciences","Psychology","2nd year","Yes","Light PA"
2.796,648.117,118.161,19,4,2,5,2,2,2,4,1,2,2,4,4,2,1,3,4,2,2,"Female","Faculty of Health Sciences","Psychology","5th year","No","Light PA"
19.581,147.692,56.345,27,4,4,3,2,3,1,4,2,3,1,2,3,3,1,3,2,4,5,"Female","Faculty of Health Sciences","Business Commerce Management","2nd year","Yes","Vigorous PA"
10.471,87.447,55.356,21,5,1,3,5,2,3,5,1,3,2,4,3,4,2,3,4,1,3,"Female","Faculty of Social Sciences","Biomedical Science","2nd year","No","Vigorous PA"
6.133,86.159,116.524,20,4,2,4,1,2,2,4,2,4,1,3,2,1,2,5,3,1,4,"Female","Faculty of Health Sciences","B.Com","2nd year","Yes","Moderate PA"
3.423,241.411,10.614,19,4,2,5,2,4,4,5,3,3,2,3,2,3,2,2,4,1,5,"Female","Faculty of Health Sciences","psychology","1st year","Yes","Light PA"
9.042,8.546,7.789,26,4,4,2,1,4,1,5,4,3,2,2,3,5,4,3,2,4,2,"Male","Telfer School of Management","computer science","1st year","Yes","Moderate PA"
13.495,102.797,106.593,23,4,2,3,3,4,1,4,3,4,1,2,2,5,1,3,4,2,4,"Female","Faculty of Health Sciences","Psychology","5th year","No","Light PA"
12.534,86.25,104.473,24,2,4,5,3,1,2,2,1,4,1,5,3,2,2,2,3,3,4,"Male","Telfer School of Management","Psych","1st year","Yes","Vigorous PA"
47.074,69.535,118.151,26,3,1,5,3,2,3,4,4,2,2,2,4,3,2,4,3,3,4,"Female","Faculty of Health Sciences","Nursing - bridging program","Other","Yes","Light PA"
16.932,132.055,16.378,26,3,1,3,2,4,3,4,1,4,3,2,3,2,1,4,3,4,4,"Male","Telfer School of Management","health science","4th year","Yes","Inactive"
9.217,125.553,180.84,31,1,3,3,1,4,4,3,2,3,2,3,2,4,1,3,4,1,4,"Female","Telfer School of Management","Health Sciences","2nd year","No","Moderate PA"
1.1,305.65,149.033,24,2,2,1,3,4,2,3,4,4,1,2,3,4,4,4,2,1,1,"Male","Telfer School of Management","BSc Psychology","2nd year","No","Vigorous PA"
8.495,116.622,116.777,37,4,3,4,3,3,4,5,2,4,2,3,2,4,2,4,4,3,4,"Male","Faculty of Arts","biomed","1st year","No","Inactive"
24.518,102.458,166.622,20,1,2,3,3,4,1,3,4,2,1,3,3,2,3,4,3,2,2,"Female","Faculty of Science","Bachelor of Commerce, option in Finance","2nd year","Yes","Moderate PA"
22.986,99.271,3435.314,18,4,2,3,4,2,2,2,5,4,5,2,4,2,1,3,3,2,5,"Female","Faculty of Egineering","Biomedical Science","2nd year","Yes","Inactive"
7.057,77.295,88.759,32,4,4,3,1,4,1,1,3,3,1,2,3,4,1,4,1,2,3,"Female","Faculty of Health Sciences","Linguistques","2nd year","Yes","Moderate PA"
13.035,118.849,260.696,27,3,2,2,4,2,1,4,3,3,1,3,1,2,1,3,4,2,4,"Female","Telfer School of Management","Biomedical Science","1st year","No","Moderate PA"
5.667,143.15,92.734,23,2,1,4,3,2,1,2,2,4,4,4,2,4,5,3,4,3,4,"Male","Faculty of Social Sciences","human kinetics","1st year","Yes","Moderate PA"
7.35,70.675,39.45,24,4,2,4,2,3,2,2,3,4,2,4,4,3,2,5,4,1,4,"Female","Faculty of Social Sciences","health science","1st year","No","Vigorous PA"
293.182,262.075,102.429,25,4,4,5,2,5,4,2,4,3,3,4,4,4,1,4,4,2,2,"Female","Faculty of Arts","Finance","2nd year","No","Inactive"
56.681,236.627,136.115,19,3,3,4,4,5,2,2,4,2,2,3,1,2,3,4,2,1,5,"Female","Faculty of Science","BScN","2nd year","No","Moderate PA"
117.07,116.724,120.437,24,4,3,5,3,3,4,3,1,5,1,1,3,4,2,2,2,4,3,"Male","Telfer School of Management","Biomedical Sciences","2nd year","Yes","Light PA"
4.148,85.8,126.4,19,3,2,2,2,3,2,3,2,2,4,1,2,2,2,4,5,2,5,"Female","Telfer School of Management","Criminology","2nd year","No","Vigorous PA"
8.079,60.614,72.537,22,4,2,4,2,3,2,3,3,2,2,2,2,3,1,4,2,2,4,"Female","Faculty of Science","Biomedical Science","1st year","Yes","Moderate PA"
3.297,13.238,57.604,20,1,1,4,2,4,2,2,3,5,3,2,5,4,3,3,3,2,1,"Female","Faculty of Social Sciences","Commerce","1st year","No","Light PA"
166.051,52.051,68.756,27,4,3,5,5,4,2,4,3,3,1,3,2,3,2,3,4,4,4,"Female","Faculty of Health Sciences","Finance","1st year","No","Moderate PA"
5.232,130.085,89.91,51,4,1,1,4,2,2,3,1,2,1,2,5,2,1,4,3,1,4,"Male","Telfer School of Management","health sciences","1st year","Yes","Light PA"
2.474,13.605,127.163,19,1,1,1,4,4,2,5,4,3,5,3,1,2,2,4,1,3,4,"Female","Faculty of Social Sciences","Psychology","1st year","Yes","Light PA"
2.448,49.361,291.901,21,4,4,3,1,3,4,4,2,1,1,4,4,3,3,5,2,3,5,"Male","Faculty of Arts","Accounting","1st year","Yes","Light PA"
8.191,149.348,9.262,27,4,1,4,1,1,3,2,4,2,1,3,4,2,1,5,5,2,4,"Female","Faculty of Science","Psychology","5th year","Yes","Vigorous PA"
6.759,714.582,89.91,19,1,3,2,3,3,1,4,2,4,2,3,4,3,2,2,1,1,4,"Male","Faculty of Science","Nursing","2nd year","No","Light PA"
4.456,105.804,27.741,22,3,3,3,2,2,2,2,3,4,1,3,3,4,3,4,4,3,1,"Male","Telfer School of Management","accounting","1st year","Yes","Vigorous PA"
10.8,842.157,62.953,19,1,1,4,2,3,3,3,2,3,2,2,2,3,1,4,3,2,4,"Male","Telfer School of Management","biomed","2nd year","Yes","Light PA"
43.029,108.432,55.339,27,4,2,4,1,4,2,3,2,1,4,3,1,3,2,4,1,1,4,"Female","Faculty of Health Sciences","Psychology","1st year","Yes","Moderate PA"
5.228,211.801,72.308,20,2,1,4,2,4,3,3,3,3,1,3,5,4,1,5,1,2,5,"Female","Telfer School of Management","economic","3rd year","No","Light PA"
3.125,108.147,10.377,20,4,3,4,1,4,2,5,5,4,2,4,3,3,2,3,4,2,5,"Female","Telfer School of Management","human kinetics","1st year","No","Light PA"
19.942,76.991,176.801,27,2,2,2,1,3,2,5,4,3,1,1,2,4,4,3,2,3,2,"Male","Faculty of Health Sciences","Criminology","1st year","No","Vigorous PA"
3.9,147.273,122.259,29,5,3,4,4,4,1,4,2,3,1,2,4,4,3,3,2,2,2,"Female","Faculty of Arts","Food and Nutrition Science","2nd year","Yes","Light PA"
393.496,120.925,74.102,19,3,2,4,4,5,1,2,3,3,3,3,2,4,5,4,4,1,3,"Female","Faculty of Science","psychology and linguistics","2nd year","No","Light PA"
4.869,71.932,157.722,19,3,4,3,2,4,2,5,1,2,1,2,3,3,2,4,4,2,3,"Female","Faculty of Egineering","Biomedical Sciences","1st year","Yes","Light PA"
6.193,492.025,141.52,18,4,2,4,4,2,2,5,3,3,1,4,1,3,2,5,4,3,3,"Female","Telfer School of Management","Finance","1st year","No","Light PA"
23.794,135.496,78.809,26,4,1,4,4,4,2,3,3,4,4,2,3,3,2,3,4,1,4,"Female","Faculty of Health Sciences","International Development & Globalization","1st year","Yes","Moderate PA"
7.43,103.31,60.944,22,4,2,2,1,4,1,3,2,5,3,3,1,5,4,4,4,1,3,"Female","Faculty of Arts","Psychology","1st year","Yes","Light PA"
0.911,117.461,245.929,21,2,1,5,4,4,4,4,1,2,2,2,3,3,3,2,2,3,3,"Female","Faculty of Science","Psychology","1st year","Yes","Light PA"
10.655,70.308,119.605,22,4,4,5,4,3,4,4,2,2,2,3,3,2,1,4,4,3,5,"Male","Telfer School of Management","Communications and Sociology","2nd year","No","Light PA"
10.08,121.872,75.069,21,4,1,2,2,4,2,2,1,3,4,3,1,2,4,2,3,1,3,"Female","Faculty of Arts","Health Sciences","3rd year","Yes","Moderate PA"
12.321,70.505,89.91,36,4,2,3,2,5,4,2,2,5,1,2,4,3,3,4,3,3,4,"Female","Faculty of Health Sciences","Major in Visual Arts","1st year","Yes","Moderate PA"
6.831,74.008,144.755,18,3,2,2,1,3,4,4,5,2,2,4,2,4,2,3,2,2,4,"Female","Faculty of Science","psych","3rd year","No","Moderate PA"
135.834,125.968,92.38,25,2,2,2,3,5,2,4,1,4,3,3,4,5,1,4,2,2,4,"Female","Faculty of Health Sciences","joint honors in psychology and linguistics","2nd year","Yes","Moderate PA"
23.57,11.381,166.622,18,4,4,3,1,3,2,4,4,5,1,3,2,2,2,3,3,3,2,"Female","Faculty of Social Sciences","Kinesiology","4th year","Yes","Light PA"
342.236,76.646,208.667,40,2,2,3,2,5,5,4,2,5,1,4,4,3,4,3,4,2,3,"Male","Faculty of Health Sciences","Major in Visual Arts","2nd year","No","Light PA"
11.177,76.991,157.436,18,4,1,3,2,4,1,3,2,1,1,2,1,4,3,4,4,3,2,"Female","Faculty of Arts","Nursing","1st year","Yes","Inactive"
3.913,71.192,15.301,22,2,4,3,1,4,1,4,2,3,3,2,1,4,1,4,4,3,5,"Male","Faculty of Health Sciences","management","1st year","Yes","Light PA"
10.143,106.574,87.525,25,3,4,4,2,3,1,5,2,4,2,3,4,3,1,4,2,2,4,"Male","Faculty of Health Sciences","Psychology","1st year","No","Vigorous PA"
13.942,23.984,103.759,20,3,2,2,4,5,4,3,2,4,2,2,3,3,2,4,1,1,3,"Female","Faculty of Health Sciences","criminology","1st year","Yes","Vigorous PA"
6.591,594.23,210.574,24,5,1,2,3,3,4,2,4,3,4,4,4,2,3,5,3,2,4,"Female","Faculty of Science","Psychology BSc.","1st year","Yes","Vigorous PA"
36.756,110.133,169.078,20,5,3,3,1,3,2,2,1,4,2,2,3,2,1,1,5,4,4,"Female","Faculty of Science","poli sci","1st year","Yes","Light PA"
23.549,136.383,89.91,21,4,3,5,1,4,2,3,1,5,3,4,4,3,4,2,1,1,4,"Female","Telfer School of Management","Health Science","2nd year","Yes","Moderate PA"
14.152,78.406,115.304,39,4,1,4,2,4,4,3,2,2,2,2,2,4,2,4,4,3,3,"Female","Telfer School of Management","Management","4th year","No","Moderate PA"
6.142,343.236,103.759,19,4,2,3,2,4,1,3,2,3,4,4,3,4,4,4,5,5,4,"Female","Faculty of Science","Bachelor of commerce with specialization in accounting","1st year","Yes","Inactive"
21.93,92.038,12.023,31,3,4,4,3,5,2,3,4,4,1,3,1,5,1,4,5,4,2,"Female","Faculty of Health Sciences","Computer Engineering","1st year","Yes","Moderate PA"
4.081,138.111,370.76,21,1,2,2,5,1,4,5,1,4,3,3,4,3,1,4,3,2,4,"Male","Faculty of Health Sciences","biomed sciences","1st year","Yes","Light PA"
9.375,444.48,522.863,18,5,4,4,3,3,2,4,4,3,2,3,3,3,2,4,2,1,5,"Male","Faculty of Social Sciences","Psychology","3rd year","Yes","Inactive"
17.668,169.887,114.526,37,4,4,5,3,2,3,2,3,2,3,3,1,3,2,5,3,3,2,"Female","Faculty of Social Sciences","Nursing","1st year","Yes","Vigorous PA"
48.798,284.119,127.247,22,4,1,3,1,5,1,2,2,3,2,2,1,4,1,4,3,2,4,"Male","Faculty of Social Sciences","Biochemistry","2nd year","Yes","Moderate PA"
8.251,11.381,93.859,19,4,4,4,4,1,2,2,3,2,1,3,3,2,3,3,5,2,2,"Female","Telfer School of Management","Health Sciences","1st year","Yes","Moderate PA"
5.992,96.677,71.347,19,5,4,1,3,3,4,4,2,3,1,4,2,4,2,4,1,2,5,"Female","Telfer School of Management","Criminology","1st year","No","Light PA"
18.801,67.431,230.929,19,3,4,4,3,2,2,5,1,2,3,3,1,2,2,4,4,1,5,"Male","Faculty of Science","Biomed","Other","No","Moderate PA"
11.899,52.785,64.878,20,4,3,4,3,4,3,4,2,2,2,2,1,5,3,2,4,1,5,"Female","Faculty of Health Sciences","Accounting","2nd year","No","Inactive"
136.74,278.645,235.878,24,5,3,4,2,4,3,5,3,3,3,2,3,4,4,3,3,2,2,"Male","Faculty of Arts","Biomedical Science","1st year","Yes","Light PA"
3.913,218.283,86.565,20,2,4,5,4,3,3,4,2,4,1,2,4,4,5,4,4,3,4,"Female","Faculty of Science","Human Kinetics","3rd year","No","Moderate PA"
19.891,99.787,139.938,22,2,4,4,4,4,4,3,2,2,1,3,4,3,3,2,3,2,1,"Female","Faculty of Health Sciences","Political science and juris doctor","2nd year","Yes","Moderate PA"
22.452,87.595,93.332,28,3,4,2,2,4,4,2,3,3,2,3,4,3,2,4,4,1,3,"Male","Faculty of Health Sciences","Nursing","3rd year","No","Light PA"
7.851,121.925,127.242,20,3,1,3,2,3,4,3,2,4,1,2,1,2,2,2,1,2,4,"Female","Faculty of Health Sciences","B. Commerce and J.D.","2nd year","Yes","Vigorous PA"
29.583,34.901,81.321,28,5,3,2,3,4,2,3,3,2,3,2,4,4,3,4,2,1,5,"Female","Faculty of Health Sciences","biopharmaceutical science","1st year","No","Moderate PA"
5.22,69.665,63.1,20,2,4,4,3,3,3,3,4,3,1,3,3,3,1,4,3,1,2,"Female","Faculty of Health Sciences","BTM","4th year","Yes","Light PA"
3.073,132.055,279.658,18,2,1,5,4,2,2,3,4,2,3,1,2,4,2,3,3,4,4,"Female","Faculty of Social Sciences","Statistics","1st year","Yes","Inactive"
8.88,111.927,175.514,28,2,4,4,2,5,2,3,1,3,2,2,1,2,2,5,5,1,5,"Female","Faculty of Science","jd/bcom","4th year","No","Vigorous PA"
16.097,125.493,62.349,21,4,1,3,1,4,3,5,2,5,4,1,3,3,1,2,4,3,4,"Female","Faculty of Health Sciences","Biomedical Science","1st year","No","Vigorous PA"
36.412,29.561,166.544,34,4,2,4,4,2,1,3,4,4,2,3,3,4,2,5,4,3,4,"Female","Faculty of Social Sciences","Biomedical science","3rd year","Yes","Moderate PA"
1.612,112.736,39.45,23,2,4,4,1,3,4,2,2,4,3,1,1,4,4,3,3,2,3,"Female","Faculty of Social Sciences","Accounting","1st year","Yes","Vigorous PA"
22.331,55.311,10.261,20,5,2,3,2,4,3,2,2,2,2,3,2,5,4,4,4,4,4,"Female","Faculty of Health Sciences","Honours Bachelor of Science in Computer Science","1st year","Yes","Moderate PA"
11.48,148.119,74.628,21,5,2,4,3,5,1,2,4,2,2,4,1,4,2,5,1,5,4,"Male","Faculty of Social Sciences","psychology","4th year","Yes","Moderate PA"
4.456,65.181,277.2,24,2,2,4,3,3,1,3,3,2,2,2,2,5,1,3,3,3,5,"Female","Faculty of Social Sciences","Accounting","1st year","Yes","Light PA"
25.863,255.579,81.126,35,4,1,4,3,5,5,2,2,4,4,2,3,3,2,2,4,4,3,"Female","Telfer School of Management","Biomedical sciences","1st year","Yes","Light PA"
0.873,193.663,80.43,32,2,2,4,3,5,3,5,2,3,3,3,3,2,2,5,4,1,5,"Female","Telfer School of Management","psychology","4th year","No","Moderate PA"
41.92,85.8,84.541,43,4,3,3,3,4,2,5,2,1,2,1,2,4,3,4,2,4,4,"Female","Faculty of Health Sciences","Health Science","1st year","Yes","Light PA"
1.508,30.202,103.307,21,4,3,2,5,4,1,3,2,5,2,5,2,2,2,4,4,1,5,"Female","Faculty of Social Sciences","Biomedical science","2nd year","Yes","Inactive"
30.304,7.042,84.541,40,5,4,4,1,4,3,4,1,3,2,3,3,4,2,3,3,4,5,"Female","Faculty of Egineering","Human Kinetics","1st year","Yes","Moderate PA"
4.456,126.471,135.2,22,3,2,5,2,5,3,5,1,3,4,3,4,4,3,4,4,3,5,"Female","Faculty of Science","Marketing","3rd year","Yes","Inactive"
11.782,102.458,84.038,20,5,2,3,2,1,2,3,1,2,2,3,1,1,1,5,5,2,2,"Female","Telfer School of Management","Health Science","1st year","No","Vigorous PA"
12.321,176.895,37.295,21,4,2,2,3,2,2,4,4,3,2,5,1,2,3,5,3,2,5,"Female","Telfer School of Management","Psychology","4th year","No","Moderate PA"
2.448,8.983,86.565,22,3,1,3,2,4,2,4,1,5,3,4,2,4,2,3,4,1,2,"Male","Faculty of Science","Health Sciences","1st year","Yes","Light PA"
0.852,95.891,10.614,28,3,3,2,1,3,1,3,2,4,3,3,4,2,1,4,4,2,4,"Female","Telfer School of Management","Psychology linguistics","1st year","No","Inactive"
8.252,69.939,205.948,24,4,4,2,3,4,4,2,2,3,1,2,1,3,1,5,4,2,5,"Female","Faculty of Social Sciences","Human Kinetics","1st year","Yes","Light PA"
5.992,50.127,133.002,22,5,4,1,2,4,3,3,4,2,2,3,2,3,1,4,4,4,5,"Male","Faculty of Social Sciences","Business Technology Management","1st year","No","Light PA"
2.557,171.738,139.938,19,3,4,2,1,4,3,4,1,3,2,4,2,3,1,3,2,1,3,"Female","Telfer School of Management","Human Kinetics","1st year","Yes","Inactive"
13.864,74.768,60.944,26,3,2,3,2,5,4,3,4,5,2,2,4,3,2,4,4,3,4,"Male","Telfer School of Management","Health Sciences","2nd year","No","Moderate PA"
0.795,49.466,9.365,20,3,1,5,3,3,4,5,5,2,5,1,3,3,3,4,4,2,4,"Male","Faculty of Science","Software Engineering","2nd year","Yes","Light PA"
9.642,197.947,161.148,31,4,2,3,2,4,4,4,3,2,3,1,3,1,2,3,3,3,5,"Female","Faculty of Social Sciences","Nursing","1st year","No","Light PA"
17.342,103.31,92.734,19,2,2,5,1,4,2,3,4,3,3,3,4,3,2,3,4,1,4,"Female","Faculty of Science","Honours BSc Biomedical Science","1st year","Yes","Light PA"
8.312,31.741,93.202,73,2,5,5,1,2,5,3,2,3,3,1,4,3,2,4,4,2,1,"Female","Faculty of Social Sciences","human kinetics","1st year","Yes","Light PA"
6.621,208.766,84.989,18,3,3,3,2,4,2,3,5,2,2,3,2,4,4,5,2,2,3,"Female","Telfer School of Management","Psychology BSc.","1st year","Yes","Moderate PA"
1.058,84.907,97.187,22,5,3,4,1,1,3,4,1,3,3,2,5,3,1,5,4,2,4,"Female","Faculty of Health Sciences","Biomedical Sciences","1st year","No","Moderate PA"
22.195,56.492,117.041,19,4,2,4,1,3,3,4,4,4,1,1,3,4,2,5,1,4,4,"Female","Faculty of Arts","Finance","1st year","Yes","Moderate PA"
11.424,278.645,130.717,20,4,2,4,2,4,2,4,1,2,3,3,1,4,2,4,4,3,4,"Male","Faculty of Arts","Computer Science","1st year","Yes","Moderate PA"
3.651,125.553,67.828,19,3,2,4,4,4,5,3,3,3,2,4,2,5,2,4,4,3,2,"Male","Faculty of Arts","Computer Science","3rd year","No","Light PA"
3.895,71.192,113.701,19,3,3,4,2,2,1,2,2,5,1,2,1,2,3,2,2,1,2,"Female","Faculty of Science","Health Sciences","2nd year","Yes","Moderate PA"
8.99,121.872,95.351,24,5,3,4,5,3,5,2,2,3,2,1,3,3,2,5,4,1,2,"Female","Telfer School of Management","accounting","1st year","Yes","Light PA"
18.971,19.316,68.361,28,2,2,3,2,5,2,3,2,2,3,2,4,3,2,3,2,2,4,"Female","Faculty of Science","Nursing","2nd year","Yes","Moderate PA"
136.74,90.116,15.702,19,4,3,5,2,2,4,2,2,4,1,3,5,3,3,4,4,1,4,"Female","Faculty of Egineering","Software Engineering","2nd year","Yes","Inactive"
1.508,104.32,18.935,26,1,2,1,1,5,2,4,4,2,2,4,3,3,2,4,1,1,5,"Male","Faculty of Health Sciences","finance","2nd year","Yes","Vigorous PA"
30.966,105.256,344.095,22,2,2,3,3,5,4,2,2,4,2,3,3,2,1,4,3,3,1,"Male","Telfer School of Management","Bachelor of Science in Nursing","2nd year","Yes","Light PA"
6.046,119.352,82.43,21,4,2,4,1,3,2,4,2,4,4,5,3,3,3,3,3,2,2,"These options do not apply to me. I identify as (please specify):","Faculty of Science","B. Commerce and J.D.","2nd year","No","Light PA"
10.973,101.635,27.741,19,5,2,5,3,5,2,4,3,2,1,2,2,4,1,4,4,4,3,"Female","Faculty of Social Sciences","Health Sciences","1st year","No","Moderate PA"
1.658,61.711,92.38,18,2,4,3,2,5,3,5,1,2,2,4,2,4,2,3,3,1,4,"Male","Faculty of Science","health sciences","3rd year","No","Moderate PA"
21.962,17.726,522.863,19,2,2,2,2,5,2,4,4,3,4,3,2,2,1,4,2,1,4,"Female","Faculty of Health Sciences","Honours Bsc psychology","1st year","Yes","Vigorous PA"
5.232,85.078,80.251,18,3,4,5,2,2,4,5,2,3,2,5,4,3,1,3,2,3,3,"Female","Faculty of Health Sciences","Biomedical Science","2nd year","No","Vigorous PA"
6.328,55.311,1341.374,25,3,2,3,2,3,4,2,5,2,3,1,3,2,4,4,2,5,4,"Female","Faculty of Egineering","Finance","2nd year","No","Inactive"
7.545,138.111,174.152,18,3,3,5,4,3,3,4,2,3,1,4,2,3,3,4,3,3,4,"Female","Faculty of Health Sciences","Nursing","4th year","No","Moderate PA"
20.28,415.484,220.865,50,3,2,2,3,1,5,4,2,4,3,5,4,5,2,2,1,3,4,"Female","Faculty of Health Sciences","Health Sciences","2nd year","Yes","Moderate PA"
14.093,108.414,1341.374,28,4,2,4,5,3,2,3,2,4,2,2,1,1,4,5,3,1,4,"Female","Telfer School of Management","Nursing","1st year","Yes","Light PA"
1.266,61.711,74.845,41,4,1,4,1,4,2,3,2,3,4,2,3,4,2,4,4,2,5,"Female","Faculty of Health Sciences","health science","1st year","Yes","Moderate PA"
11.391,72.252,116.615,18,2,2,5,3,3,2,1,3,2,3,1,1,2,2,2,3,1,2,"Male","Faculty of Health Sciences","Honours Health Science","2nd year","No","Light PA"
6.968,14.25,75.647,18,3,3,1,2,5,2,5,3,4,2,1,2,4,3,3,4,3,4,"Female","Telfer School of Management","psychology","1st year","No","Inactive"
14.329,123.389,10.312,22,2,3,2,1,5,4,5,4,4,1,5,2,4,2,5,4,3,4,"Female","Faculty of Science","accounting","1st year","No","Light PA"
4.801,78.608,107.054,20,1,1,5,3,5,2,3,2,2,2,3,3,2,1,3,4,1,4,"Female","Faculty of Health Sciences","Nursing","1st year","Yes","Light PA"
7.412,92.784,948.376,32,4,3,2,2,4,2,4,5,2,4,4,2,1,5,3,2,1,4,"Female","Telfer School of Management","Nursing","1st year","Yes","Inactive"
10.987,79.231,74.071,20,1,2,5,4,5,1,5,1,2,1,1,2,3,2,3,3,2,4,"Male","Telfer School of Management","Health science","1st year","No","Light PA"
10.123,66.016,100.916,20,4,1,4,4,2,2,3,2,1,3,3,3,5,4,3,2,1,5,"Female","Faculty of Science","Marketing","2nd year","Yes","Inactive"
18.322,63.598,144.307,19,2,2,2,1,4,2,3,4,4,2,2,3,3,1,2,4,2,3,"Female","Telfer School of Management","accounting","1st year","Yes","Light PA"
9.882,82.803,61.882,24,4,1,1,4,2,1,3,1,5,2,3,3,5,2,4,3,3,3,"Female","Telfer School of Management","Psychology","1st year","Yes","Inactive"
0.685,77.195,99.522,19,1,1,2,1,2,3,2,4,3,4,3,4,2,4,4,4,2,4,"Male","Faculty of Health Sciences","Second Language Teaching","1st year","Yes","Moderate PA"
11.135,252.33,348.725,23,4,4,4,2,3,4,4,2,3,4,4,1,4,3,5,5,4,5,"Female","Faculty of Science","Computer Science","1st year","No","Inactive"
449.603,71.173,121.016,20,5,2,4,2,3,1,2,4,4,1,2,2,3,3,3,4,3,3,"Male","Telfer School of Management","criminology","1st year","No","Moderate PA"
0.743,116.392,97.925,24,2,1,3,5,5,2,4,2,3,1,5,3,2,1,2,4,2,1,"Female","Faculty of Arts","Joint Honours BA in Psychology and Linguistics","3rd year","Yes","Light PA"
