"TimerPES_First.Click","TimerPES_Last.Click","TimerPES_Page.Submit","TimerPES_Click.Count","PES_1","PES_2","PES_3","PES_4","PES_5","PES_6","PES_7","PES_8","PES_9","PES_10","PES_11","PES_12","PES_13","PES_14","PES_15","PES_16","PES_17","PES_18","Gender","Faculty","Program","Year.Program","First.Semester","PA_profile"
8.868,102.458,102.696,21,4,2,4,2,4,2,4,2,4,2,3,2,3,2,4,4,2,4,"Male","Telfer School of Management","accounting","1st year","Yes","Vigorous PA"
5.392,73.242,74.628,19,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,3,2,4,"Female","Faculty of Science","Biomedical Science","1st year","Yes","Moderate PA"
20.789,76.126,78.129,20,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,2,4,"Male","Faculty of Egineering","Software Engineering","5th year","No","Moderate PA"
3.073,54.818,55.356,21,4,2,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,"Female","Faculty of Science","biomedical science","1st year","Yes","Moderate PA"
12.423,78.608,79.327,20,2,3,3,3,3,2,3,2,3,2,3,1,3,2,3,3,2,3,"Female","Faculty of Social Sciences","psychology","1st year","Yes","Light PA"
2.236,17.085,18.099,20,3,2,3,3,4,4,3,5,3,3,4,3,4,2,2,4,4,3,"Male","Faculty of Social Sciences","economics","4th year","No","Light PA"
1.785,117.551,118.161,37,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,4,2,4,"Male","Faculty of Egineering","Computer Science","5th year","No","Moderate PA"
6.849,86.071,88.092,26,3,2,2,4,4,2,3,3,2,2,2,2,4,3,4,4,2,2,"Male","Telfer School of Management","accounting","3rd year","No","Light PA"
2.796,61.986,62.877,51,4,2,5,2,5,2,5,2,4,2,4,1,4,2,4,3,1,5,"Female","Faculty of Science","Nursing","1st year","Yes","Vigorous PA"
19.581,113.775,114.52,22,2,2,3,2,3,2,3,2,3,3,2,2,2,2,3,4,2,4,"Male","Faculty of Science","Biomedical","1st year","Yes","Inactive"
10.471,71.12,72.308,18,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,5,1,5,"Female","Faculty of Social Sciences","Honours Psychology","1st year","Yes","Vigorous PA"
6.133,88.798,90.094,20,2,3,3,2,4,2,3,2,3,2,2,3,3,2,4,4,2,3,"Female","Faculty of Social Sciences","Psychology","Other","Yes","Light PA"
3.423,134.089,135.46,21,3,4,2,4,3,2,2,4,2,4,2,4,2,2,2,2,4,2,"Female","Faculty of Health Sciences","Health Sciences","1st year","Yes","Inactive"
9.042,64.464,65.501,21,4,2,2,2,3,2,2,3,2,2,2,3,2,2,3,3,2,4,"Female","Telfer School of Management","Management","2nd year","No","Vigorous PA"
13.495,130.879,132.432,22,2,4,2,4,2,2,2,4,2,4,2,4,2,4,2,5,4,2,"Male","Faculty of Health Sciences","Health Sciences","1st year","Yes","Inactive"
12.534,79.357,80.189,21,3,2,3,1,4,1,4,1,3,1,3,1,3,1,4,2,2,5,"Female","Faculty of Science","Biopharmaceutical Science","1st year","Yes","Vigorous PA"
47.074,169.887,170.833,28,2,2,4,4,5,2,4,2,3,1,2,1,3,2,4,2,2,4,"Female","Faculty of Science","Biochemistry","2nd year","No","Moderate PA"
16.932,100.982,102.321,20,4,2,4,2,4,2,4,2,4,2,3,2,4,2,4,4,2,4,"Female","Faculty of Social Sciences","Psychology and Linguistics (joint honors)","1st year","Yes","Moderate PA"
9.217,67.431,68.518,19,4,3,4,2,4,2,4,2,4,2,3,2,4,2,4,4,2,4,"Female","Faculty of Arts","Psychology and Linguistics","1st year","Yes","Moderate PA"
1.1,714.582,716.067,24,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,5,1,5,"Female","Faculty of Science","Biomedical sciences","1st year","Yes","Vigorous PA"
8.495,112.865,115.035,20,4,3,3,3,2,3,2,3,3,4,2,4,4,3,3,4,3,4,"Female","Faculty of Health Sciences","Human Kinetics","1st year","Yes","Inactive"
24.518,100.735,102.277,19,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,5,1,"Female","Telfer School of Management","management","3rd year","Yes","Inactive"
22.986,125.19,126.388,27,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,4,2,4,"Male","Faculty of Arts","Communications","3rd year","No","Light PA"
7.057,58.746,59.886,18,4,2,3,2,4,2,3,2,3,2,4,2,3,2,4,2,2,2,"Female","Faculty of Social Sciences","Psychology","1st year","Yes","Light PA"
13.035,100.936,101.827,19,4,2,4,2,4,2,4,2,3,1,4,2,4,2,4,3,2,4,"Male","Telfer School of Management","Finance","2nd year","No","Moderate PA"
5.667,49.466,52.218,22,2,4,3,4,2,3,3,4,3,4,3,3,3,4,3,4,3,3,"Female","Faculty of Health Sciences","Honours in Health Science","1st year","Yes","Inactive"
7.35,78.497,80.43,20,3,3,2,4,3,4,2,4,2,4,2,4,2,4,2,4,4,3,"Female","Faculty of Health Sciences","Honours Bachelor of Health Science","1st year","Yes","Inactive"
293.182,357.113,358.119,19,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,2,4,3,"Female","Faculty of Arts","Joint Honours BA in Psychology and Linguistics","1st year","Yes","Light PA"
56.681,304.95,306.479,26,4,2,3,2,4,2,3,2,3,2,2,3,3,2,4,3,2,4,"Female","Faculty of Health Sciences","Nursing","1st year","Yes","Moderate PA"
117.07,233.776,234.542,19,5,2,4,2,4,2,4,2,3,2,4,2,4,2,4,3,2,4,"Female","Telfer School of Management","Business and management","5th year","Yes","Moderate PA"
4.148,91.716,92.343,39,2,4,3,4,2,4,2,4,2,3,1,4,2,2,2,5,4,2,"Male","Faculty of Science","Biomedical science","2nd year","Yes","Inactive"
8.079,45.122,46.1,33,3,3,3,3,4,3,2,3,3,2,3,3,3,3,3,3,3,3,"Male","Telfer School of Management","Finance","2nd year","No","Light PA"
3.297,63.447,64.083,25,3,3,2,4,4,4,3,4,3,3,3,3,3,4,3,5,3,4,"Male","Faculty of Health Sciences","Health Sciences","1st year","Yes","Light PA"
166.051,270.249,271.481,22,3,2,4,3,4,2,3,3,3,1,2,2,3,2,3,2,2,3,"Female","Faculty of Health Sciences","B. Sc. Inf.","1st year","Yes","Inactive"
5.232,60.4,61.605,19,4,2,3,3,4,2,2,2,2,4,3,3,3,2,4,2,2,3,"Female","Telfer School of Management","Finance And Healthcare Analytics","2nd year","No","Inactive"
2.474,101.154,105.117,37,4,4,2,4,3,4,2,4,2,4,4,4,2,4,4,4,2,2,"Female","Faculty of Health Sciences","Honours Health Sciences","1st year","Yes","Light PA"
2.448,61.711,62.391,39,5,2,5,2,5,2,5,2,5,2,4,2,4,2,5,4,2,4,"Female","Faculty of Social Sciences","Psychology","1st year","Yes","Moderate PA"
8.191,82.423,85.128,20,3,3,3,1,3,1,3,1,3,1,2,1,3,1,3,3,1,4,"Female","Telfer School of Management","management","2nd year","No","Light PA"
6.759,260.192,260.696,37,4,2,4,4,4,2,4,2,4,2,3,2,4,2,4,4,2,4,"Male","Faculty of Social Sciences","B.A Honors Psychology","1st year","Yes","Light PA"
4.456,178.495,178.858,25,2,3,2,3,3,4,2,4,2,2,2,3,2,4,3,2,3,2,"Female","Telfer School of Management","Finance","2nd year","No","Moderate PA"
10.8,166.891,167.851,19,5,1,5,1,4,2,4,1,5,1,4,1,5,1,5,4,1,5,"Male","Faculty of Health Sciences","Human Kinetics","3rd year","No","Moderate PA"
43.029,172.247,173.759,21,3,5,1,1,1,5,1,4,2,5,1,4,2,2,2,2,4,4,"Female","Faculty of Arts","Communications","1st year","Yes","Light PA"
5.228,87.078,87.525,20,4,2,4,2,4,2,3,2,3,1,2,3,2,2,4,2,2,4,"Female","Faculty of Health Sciences","Nursing","1st year","Yes","Light PA"
3.125,71.173,72.749,19,2,4,2,4,2,4,2,4,2,4,1,4,2,3,1,3,4,3,"Male","Faculty of Egineering","Computer Science","4th year","No","Light PA"
19.942,207.847,208.868,45,2,3,2,4,3,3,2,4,2,3,2,4,2,3,2,4,4,3,"Female","Faculty of Health Sciences","Health Sciences","1st year","Yes","Inactive"
3.9,65.712,66.576,20,4,1,4,1,4,1,3,1,3,1,4,1,4,1,4,1,1,4,"Female","Faculty of Arts","Second Language Teaching","1st year","Yes","Moderate PA"
393.496,821.802,822.565,23,3,4,3,4,4,4,3,3,3,3,3,3,3,3,3,4,4,3,"Female","Faculty of Social Sciences","psychology","1st year","Yes","Inactive"
4.869,50.127,50.857,21,4,1,4,1,4,1,4,1,4,1,3,1,4,1,4,2,1,5,"Male","Telfer School of Management","Management","2nd year","No","Moderate PA"
6.193,286.559,309.758,24,3,4,2,4,3,4,2,4,2,4,2,4,2,4,3,4,4,3,"Female","Faculty of Egineering","Computer Engineering","3rd year","No","Moderate PA"
23.794,218.283,225.409,32,3,2,4,2,3,2,3,2,3,2,2,2,3,2,4,4,1,4,"Female","Telfer School of Management","Bachelor of Commerce and Juris Doctor","2nd year","No","Light PA"
7.43,330.9,331.765,20,2,2,3,4,4,3,4,3,4,1,2,3,2,2,3,4,3,4,"Female","Faculty of Science","Biomedical Science","2nd year","Yes","Inactive"
0.911,13.649,14.168,22,2,3,3,4,2,2,3,3,4,3,2,3,4,3,3,3,3,3,"Male","Telfer School of Management","Finance","2nd year","No","Inactive"
10.655,77.195,77.723,19,4,2,4,2,4,2,5,2,4,1,4,2,4,2,4,4,2,4,"Male","Faculty of Health Sciences","Health Sciences","1st year","Yes","Moderate PA"
10.08,100.518,103.307,19,3,2,3,2,3,2,2,3,2,2,3,3,3,2,2,2,4,3,"Female","Telfer School of Management","Commerce","2nd year","No","Light PA"
12.321,344.668,345.675,22,2,4,5,5,5,5,3,5,2,2,1,4,2,4,5,5,1,4,"Female","Faculty of Science","Biomedical Science","1st year","Yes","Light PA"
6.831,93.411,94.992,18,2,3,4,3,4,3,4,3,4,2,3,3,4,3,4,3,3,3,"Female","Faculty of Social Sciences","psychology","1st year","Yes","Light PA"
135.834,200.863,232.912,19,2,3,3,2,3,2,4,2,2,3,2,4,3,1,3,3,2,3,"Female","Faculty of Arts","psychology and linguistics","1st year","Yes","Light PA"
23.57,132.302,133.235,20,4,2,3,1,3,4,3,1,3,1,2,2,2,1,2,3,2,3,"Male","Faculty of Social Sciences","economics","4th year","No","Light PA"
342.236,410.091,410.81,18,5,1,5,1,5,5,5,1,5,1,5,1,5,1,5,5,1,5,"Female","Faculty of Health Sciences","Human Kinetics","1st year","Yes","Vigorous PA"
11.177,118.342,119.398,22,4,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,4,"Male","Telfer School of Management","Marketing","2nd year","No","Vigorous PA"
3.913,77.373,78.553,25,3,2,4,3,3,2,3,3,3,2,3,3,3,2,3,3,2,4,"Female","Faculty of Social Sciences","Political science and communication","2nd year","No","Light PA"
10.143,17.726,19.316,18,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Male","Faculty of Social Sciences","Economics","4th year","No","Moderate PA"
13.942,70.505,71.511,22,2,3,3,3,4,3,3,2,2,1,1,1,2,2,2,4,2,3,"Female","Telfer School of Management","International Management","2nd year","No","Light PA"
6.591,63.253,64.405,25,3,2,4,2,5,2,4,2,4,2,4,3,3,4,4,4,2,4,"Female","Faculty of Egineering","Mechanical Engineering","2nd year","No","Light PA"
36.756,139.924,139.938,73,3,3,4,3,3,2,4,3,3,3,4,4,3,3,3,3,3,4,"Male","Faculty of Science","Biomedical","1st year","Yes","Inactive"
23.549,104.048,104.473,21,3,2,4,2,4,3,4,2,3,2,1,2,4,2,4,2,3,4,"Female","Faculty of Social Sciences","Psychology BA","1st year","Yes","Light PA"
14.152,112.736,116.615,26,2,4,3,3,3,2,2,2,2,3,2,3,2,2,3,3,3,3,"Female","Faculty of Health Sciences","Nursing","1st year","Yes","Vigorous PA"
6.142,68.104,70.629,18,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,5,"Male","Telfer School of Management","Finance","2nd year","No","Moderate PA"
21.93,245.031,245.929,24,5,2,4,2,5,1,4,2,5,1,5,1,5,1,5,5,1,5,"Male","Telfer School of Management","Finance","2nd year","No","Vigorous PA"
4.081,47.893,48.674,21,4,3,4,3,4,3,4,3,3,2,2,2,3,2,4,3,2,4,"Female","Faculty of Arts","English","3rd year","No","Light PA"
9.375,42.766,43.8,22,3,4,2,4,4,2,4,4,2,2,2,3,3,3,4,2,2,4,"Male","Telfer School of Management","Finance","2nd year","No","Light PA"
17.668,118.148,120.371,28,3,3,4,3,3,3,3,3,3,2,3,3,2,2,4,3,2,4,"Female","Faculty of Science","Biomedical science","1st year","Yes","Moderate PA"
48.798,185.533,186.428,22,2,2,3,2,3,2,3,2,4,5,2,3,2,4,3,4,3,4,"Female","Faculty of Social Sciences","service social","1st year","Yes","Light PA"
8.251,69.661,71.364,20,4,1,4,1,4,1,4,1,3,1,3,1,4,1,4,1,1,4,"Female","Faculty of Science","Biomedical Science","2nd year","No","Vigorous PA"
5.992,74.768,75.647,20,4,3,4,3,4,2,4,2,3,1,3,2,4,2,4,2,2,4,"Female","Faculty of Science","Biomedical sciences","1st year","Yes","Moderate PA"
18.801,159.253,163.363,21,3,4,2,4,4,4,2,4,1,1,1,4,1,2,4,4,3,3,"Female","Faculty of Social Sciences","Psychology","1st year","Yes","Light PA"
11.899,76.319,77.556,19,4,2,4,2,4,2,3,2,4,3,4,3,2,2,4,4,3,4,"Female","Faculty of Science","Biomedical science","1st year","Yes","Moderate PA"
136.74,305.65,315.685,20,2,2,4,2,4,2,2,3,2,2,2,3,2,2,3,2,2,2,"Male","Faculty of Social Sciences","Economics","1st year","Yes","Light PA"
3.913,77.373,78.553,25,3,2,4,3,3,2,3,3,3,2,3,3,3,2,3,3,2,4,"Female","Faculty of Social Sciences","Political science and communication","2nd year","No","Light PA"
19.891,76.646,77.384,25,5,1,5,1,5,1,5,1,4,1,4,1,4,1,5,3,1,5,"Male","Faculty of Science","Biomedical Science","1st year","No","Moderate PA"
22.452,105.773,107.054,19,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,4,2,"Female","Faculty of Arts","Psychology","1st year","Yes","Light PA"
7.851,73.612,74.203,23,2,2,3,2,3,2,3,2,3,4,2,4,2,2,3,3,2,3,"Male","Telfer School of Management","Management","2nd year","No","Moderate PA"
29.583,149.348,150.137,19,4,3,5,4,5,2,5,3,4,1,4,2,4,2,5,5,2,5,"Female","Faculty of Health Sciences","Nursing","1st year","Yes","Moderate PA"
5.22,58.461,59.05,20,2,2,4,2,4,2,2,2,4,2,2,3,4,2,4,5,2,5,"Male","Faculty of Science","Biomed","1st year","Yes","Vigorous PA"
3.073,54.818,55.356,21,4,2,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,"Female","Faculty of Science","biomedical science","1st year","Yes","Moderate PA"
8.88,116.724,117.65,38,4,4,2,2,2,4,4,4,2,4,2,4,2,2,2,2,3,2,"Female","Telfer School of Management","Accounting","1st year","Yes","Light PA"
16.097,67.529,69.249,27,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,3,2,4,"Female","Faculty of Arts","Psychology","1st year","Yes","Vigorous PA"
36.412,125.493,126.475,22,4,2,3,2,3,2,4,2,3,2,4,2,4,2,4,3,1,4,"Female","Faculty of Social Sciences","BA Psychology","1st year","Yes","Vigorous PA"
1.612,17.601,18.935,18,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,3,3,"Male","Telfer School of Management","Accounting","2nd year","No","Inactive"
22.331,102.554,103.8,22,2,4,3,3,4,2,2,4,2,4,2,4,2,4,2,2,4,2,"Female","Faculty of Science","Biomedical sciences","2nd year","No","Light PA"
11.48,77.295,78.762,20,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,5,1,1,"Female","Telfer School of Management","finance","2nd year","No","Inactive"
4.456,178.495,178.858,25,2,3,2,3,3,4,2,4,2,2,2,3,2,4,3,2,3,2,"Female","Telfer School of Management","Finance","2nd year","No","Moderate PA"
25.863,90.54,91.727,18,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1,4,"Female","Faculty of Arts","Communication","2nd year","No","Moderate PA"
0.873,33.662,34.767,23,3,2,4,3,3,4,4,3,4,4,4,2,2,2,4,4,2,2,"Male","Faculty of Social Sciences","Psychology and Linguistics","1st year","Yes","Vigorous PA"
41.92,97.674,100.916,19,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,4,2,"Female","Faculty of Science","BioMed","1st year","Yes","Light PA"
1.508,37.405,37.893,23,4,2,4,3,4,2,4,2,4,3,3,3,2,2,4,2,2,4,"Male","Faculty of Health Sciences","Interdisciplinary Health Sciences","1st year","Yes","Vigorous PA"
30.304,237.158,239.249,33,4,2,3,2,4,1,5,5,3,2,3,2,3,2,3,4,2,4,"Female","Faculty of Social Sciences","bsc psychology","1st year","Yes","Moderate PA"
4.456,178.495,178.858,25,2,3,2,3,3,4,2,4,2,2,2,3,2,4,3,2,3,2,"Female","Telfer School of Management","Finance","2nd year","No","Moderate PA"
11.782,194.583,196.077,60,3,1,3,1,3,1,3,1,2,3,2,3,3,1,3,4,1,3,"Female","Faculty of Science","Biomedical science","1st year","Yes","Inactive"
12.321,344.668,345.675,22,2,4,5,5,5,5,3,5,2,2,1,4,2,4,5,5,1,4,"Female","Faculty of Science","Biomedical Science","1st year","Yes","Light PA"
2.448,61.711,62.391,39,5,2,5,2,5,2,5,2,5,2,4,2,4,2,5,4,2,4,"Female","Faculty of Social Sciences","Psychology","1st year","Yes","Moderate PA"
0.852,233.267,235.486,29,4,3,4,3,5,3,3,3,3,4,3,4,4,3,4,3,4,4,"Female","Faculty of Medicine","Kinesiology","1st year","Yes","Light PA"
8.252,106.574,107.938,22,2,3,3,2,3,2,2,2,2,2,3,4,3,2,3,4,3,4,"Female","Faculty of Health Sciences","Health Sciences","3rd year","No","Light PA"
5.992,74.768,75.647,20,4,3,4,3,4,2,4,2,3,1,3,2,4,2,4,2,2,4,"Female","Faculty of Science","Biomedical sciences","1st year","Yes","Moderate PA"
2.557,231.661,253.465,42,2,3,4,2,4,2,2,2,2,2,3,3,2,2,4,4,3,4,"Male","Faculty of Science","Honours BSc Biomedical Science","1st year","Yes","Inactive"
13.864,75.579,76.072,25,4,4,4,2,4,2,4,2,3,2,3,2,4,2,4,2,2,4,"Male","Telfer School of Management","B.Com, Marketing","2nd year","No","Moderate PA"
0.795,100.669,102.345,26,4,2,4,1,4,2,4,2,4,1,4,2,4,1,4,2,1,4,"Male","Telfer School of Management","finance","2nd year","No","Moderate PA"
9.642,81.683,82.43,19,5,1,5,1,3,1,3,1,3,3,3,3,5,1,3,1,3,5,"Male","Telfer School of Management","finance","1st year","Yes","Vigorous PA"
17.342,221.991,224.086,29,2,3,2,3,3,3,3,2,3,2,2,3,2,2,3,4,2,3,"Female","Faculty of Science","Biology","2nd year","No","Light PA"
8.312,57.447,58.964,21,4,3,3,3,4,3,3,3,4,2,2,3,3,3,3,4,3,4,"Female","Faculty of Social Sciences","Psychology","1st year","Yes","Inactive"
6.621,63.126,64.878,18,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,5,"Female","Faculty of Science","Biomedical Science","1st year","Yes","Moderate PA"
1.058,8.546,9.262,19,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Female","Faculty of Social Sciences","Psychology","1st year","Yes","Inactive"
22.195,86.159,86.96,20,3,3,3,3,3,3,3,3,3,1,3,2,3,3,3,3,3,3,"Female","Faculty of Health Sciences","Health science","1st year","Yes","Light PA"
11.424,284.302,285.993,19,5,2,4,2,4,2,2,2,4,2,2,2,4,2,2,4,1,4,"Male","Faculty of Health Sciences","health science","1st year","Yes","Moderate PA"
3.651,343.236,344.095,22,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Female","Faculty of Health Sciences","health sciences","4th year","No","Moderate PA"
3.895,54.004,55.27,27,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,"Female","Faculty of Social Sciences","BA Psychology","1st year","Yes","Light PA"
8.99,86.929,88.096,20,4,2,4,2,5,2,4,2,4,2,3,2,3,1,4,1,3,4,"Male","Telfer School of Management","Finance","2nd year","No","Vigorous PA"
18.971,173.666,176.801,20,5,1,4,1,5,2,4,2,4,2,4,2,4,2,4,3,2,4,"Male","Faculty of Science","Biology","3rd year","No","Vigorous PA"
136.74,305.65,315.685,20,2,2,4,2,4,2,2,3,2,2,2,3,2,2,3,2,2,2,"Male","Faculty of Social Sciences","Economics","1st year","Yes","Light PA"
1.508,37.405,37.893,23,4,2,4,3,4,2,4,2,4,3,3,3,2,2,4,2,2,4,"Male","Faculty of Health Sciences","Interdisciplinary Health Sciences","1st year","Yes","Vigorous PA"
30.966,156.755,159.112,23,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,2,"Female","Telfer School of Management","accounting","2nd year","No","Moderate PA"
6.046,27.895,29.769,28,4,3,4,4,4,3,3,4,3,4,4,4,3,3,4,3,4,3,"Male","Faculty of Health Sciences","health science","1st year","Yes","Vigorous PA"
10.973,148.247,149.018,24,4,2,4,2,3,2,4,2,3,2,3,2,3,2,4,2,2,3,"Female","Faculty of Egineering","Computer Engineering","4th year","No","Light PA"
1.658,31.648,32.627,19,3,3,3,3,3,3,4,4,4,4,4,3,3,3,4,4,3,4,"Female","Telfer School of Management","finance","3rd year","No","Vigorous PA"
21.962,70.308,71.614,18,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,2,4,"Female","Faculty of Social Sciences","criminology","1st year","Yes","Moderate PA"
5.232,60.4,61.605,19,4,2,3,3,4,2,2,2,2,4,3,3,3,2,4,2,2,3,"Female","Telfer School of Management","Finance And Healthcare Analytics","2nd year","No","Inactive"
6.328,116.392,119.538,22,5,1,4,1,4,1,4,1,5,1,4,1,4,1,5,4,2,4,"Male","Telfer School of Management","Finance","2nd year","No","Vigorous PA"
7.545,62.184,62.953,20,5,2,4,2,4,2,5,1,5,2,4,2,4,1,5,1,1,5,"Male","Faculty of Arts","BA (Music)","2nd year","No","Light PA"
20.28,135.496,141.52,19,5,1,5,1,5,1,5,1,5,1,4,2,5,1,5,3,1,5,"Female","Faculty of Health Sciences","Nursing","1st year","Yes","Moderate PA"
14.093,83.314,84.541,19,4,1,4,1,5,1,5,1,4,1,5,1,5,1,5,2,1,5,"Female","Faculty of Science","Biomedical Science","1st year","Yes","Vigorous PA"
1.266,19.547,20.368,19,3,3,4,4,4,4,4,4,4,4,3,3,4,3,4,3,4,4,"Perfer not to disclose","Telfer School of Management","Marketing","2nd year","No","Light PA"
11.391,118.849,119.787,23,2,2,3,3,4,3,2,3,4,2,2,3,2,2,2,4,4,4,"Female","Faculty of Social Sciences","psychology","1st year","Yes","Light PA"
6.968,81.032,82.078,19,4,2,3,2,3,2,4,2,3,1,1,2,4,2,3,2,2,4,"Female","Faculty of Science","Biomedical Science","1st year","Yes","Moderate PA"
14.329,108.147,110.355,20,1,3,4,3,4,3,4,3,4,2,2,2,2,2,4,1,2,4,"Female","Faculty of Health Sciences","Nursing","1st year","Yes","Moderate PA"
4.801,79.82,82.456,19,4,2,4,2,4,2,3,2,4,1,2,2,4,2,4,3,2,4,"Female","Faculty of Social Sciences","Social work","1st year","Yes","Vigorous PA"
7.412,53.68,54.109,20,4,3,4,3,4,3,4,2,3,2,4,2,4,2,4,3,2,4,"Female","Faculty of Health Sciences","Nursing","1st year","No","Light PA"
10.987,56.016,57.494,19,3,4,3,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,"Female","Faculty of Social Sciences","psychology","1st year","Yes","Inactive"
10.123,67.181,68.275,19,4,2,4,2,4,2,4,2,3,2,4,2,3,2,4,2,2,4,"Female","Faculty of Health Sciences","Nursing","1st year","Yes","Moderate PA"
18.322,105.256,106.848,18,4,2,3,2,4,2,4,2,2,2,4,2,4,2,4,5,2,4,"Female","Faculty of Health Sciences","health sciences","3rd year","No","Moderate PA"
9.882,59.321,59.989,18,2,3,4,3,4,1,3,2,3,1,2,1,1,2,4,3,2,4,"Female","Faculty of Health Sciences","Health Sciences","1st year","Yes","Moderate PA"
0.685,8.983,9.365,34,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Male","Faculty of Egineering","Computer Science","2nd year","Yes","Inactive"
11.135,97.966,99.032,19,4,2,4,2,4,2,4,2,3,2,3,2,3,2,4,3,2,4,"Female","Faculty of Health Sciences","Nursing","1st year","Yes","Moderate PA"
449.603,1012.8,1013.663,20,4,1,4,1,5,1,5,1,4,1,4,1,4,1,4,4,1,5,"Female","Faculty of Science","Biomedical Science","1st year","Yes","Moderate PA"
0.743,7.042,7.789,22,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Female","Faculty of Social Sciences","Criminology","2nd year","No","Light PA"
