"highschoolGPA","pre_intervention_GPA","gradegoal","gradegoal_E2","motivation","motivation_E2","importance","importance_E2","confidence","confidence_E2","grade","exam_1","exam_2","group"
4,3.356,4,3,6.25,7,7,6.25,NA,4,74.1,74,79,1
3.9,NA,1,3,6.25,7,7,7,NA,5.5,84.1,79,87,1
3.3,2.541,4,2,3.25,7,3.25,NA,4.75,NA,78.1,91,96,0
NA,3.74,4,3,7,6.25,7,NA,5.5,6.25,91.1,55,81,1
1.8,NA,1,5,6.25,5.5,6.25,7,4,4,72.6,91,29,0
3.7,3.237,2,3,6.25,4.75,5.5,NA,5.5,5.5,77.7,69,87,1
NA,3.74,2,3,NA,5.5,5.5,7,2.5,4,80.3,75,88,1
4.037,2.488,1,2,4.75,6.25,5.5,7,5.5,6.25,97.6,85,79,0
3.7,1.966,2,NA,4.75,6.25,5.5,6.25,3.25,NA,77.6,83,84,1
NA,NA,3,6,5.5,5.5,7,6.25,4,4,73.6,79,99,1
3.5,3.768,1,1,NA,5.5,NA,NA,5.5,5.5,78.6,85,90,0
3.9,3.368,2,4,5.5,5.5,4,NA,3.25,4,86.2,68,98,0
3.7,2.448,4,4,7,5.5,4,6.25,NA,4,82.4,87,71,0
NA,2.938,2,1,5.5,4,6.25,6.25,5.5,5.5,91.1,74,68,1
