"highschoolGPA","pre_intervention_GPA","gradegoal","gradegoal_E2","motivation","motivation_E2","importance","importance_E2","confidence","confidence_E2","grade","exam_1","exam_2","group"
4.02,3.227,1,1,7,7,7,7,6.25,6.25,91.3,88,92,0
3.5,1.971,1,1,7,6.25,7,7,4,5.5,75.6,74,73,0
3.98,3.228,4,5,5.5,6.25,5.5,7,4.75,4.75,75.1,70,78,1
NA,NA,NA,3,NA,4,NA,5.5,NA,4.75,78.7,77,79,1
NA,3.4,NA,2,NA,5.5,NA,6.25,NA,4,87.3,87,85,1
3.8,3.107,4,7,4.75,5.5,5.5,6.25,3.25,2.5,76.5,69,75,1
3.9,3.065,2,2,5.5,6.25,6.25,5.5,2.5,3.25,86,82,84,0
3.8,3.666,2,2,6.25,6.25,7,6.25,4.75,1.75,87.6,69,99,0
4,3.937,1,1,6.25,3.25,5.5,3.25,5.5,4,95.5,94,96,1
4.18,3.33,3,2,4.75,4.75,5.5,6.25,4.75,3.25,80.1,78,78,0
NA,2.56,NA,2,NA,7,NA,7,NA,4,89,87,90,0
4.18,3.33,3,2,4.75,4.75,5.5,6.25,4.75,3.25,80.1,78,78,0
4,3.937,1,1,6.25,3.25,5.5,3.25,5.5,4,95.5,94,96,1
4.2,3.104,2,4,3.25,7,1.75,7,1.75,2.5,68.5,48,66,0
4.2,3.148,3,3,3.25,5.5,3.25,5.5,2.5,4.75,87.1,78,94,0
3.8,2.876,2,3,7,7,7,7,5.5,5.5,89.8,85,92,1
3.85,2.932,4,3,5.5,5.5,5.5,6.25,4.75,4.75,86.4,85,84,0
3.9,2.49,3,5,6.25,7,6.25,7,5.5,5.5,58.7,57,43,0
NA,3.402,NA,NA,NA,NA,NA,NA,NA,NA,86.7,88,89,NA
4.1,2.934,2,2,7,5.5,7,5.5,5.5,4.75,89.1,86,88,0
3.9,3.351,2,2,4,3.25,4.75,3.25,4,3.25,91,94,87,1
4.3,3.783,1,1,6.25,6.25,5.5,6.25,5.5,6.25,96.2,94,96,1
3.65,3.58,1,2,4,7,6.25,7,2.5,7,90.8,85,94,1
3.5,3.25,2,2,6.25,7,7,7,6.25,5.5,82.7,86,76,1
NA,2.859,NA,4,NA,6.25,NA,6.25,NA,4.75,80,72,91,0
3.78,3.546,2,2,6.25,4,6.25,4,5.5,4,90.9,94,85,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.7,66,59,NA
3.89,2.61,4,4,5.5,5.5,7,6.25,4.75,5.5,87.8,81,92,1
4.2,3.506,2,2,5.5,6.25,6.25,7,5.5,5.5,92.5,87,94,1
3.7,2.567,3,NA,5.5,NA,6.25,NA,4,NA,62.4,64,56,1
NA,3.603,NA,2,NA,6.25,NA,6.25,NA,5.5,91.7,97,96,0
4,3.641,1,1,7,7,4,7,5.5,7,89.1,81,91,1
NA,3.243,NA,1,NA,7,NA,7,NA,4.75,78.3,83,75,0
NA,3.303,NA,1,NA,7,NA,4,NA,4,75.9,70,87,1
NA,3.303,NA,1,NA,7,NA,4,NA,4,75.9,70,87,1
3.7,3.585,3,3,5.5,5.5,5.5,5.5,5.5,5.5,91.2,88,95,1
4.12,3.812,2,4,6.25,5.5,3.25,5.5,5.5,6.25,92.6,89,89,0
3.7,2.95,3,3,6.25,7,6.25,6.25,6.25,7,90.5,85,93,0
3.5,1.966,3,5,7,7,7,7,7,4,58.5,49,58,0
4.2,3.148,3,3,3.25,5.5,3.25,5.5,2.5,4.75,87.1,78,94,0
NA,3.3,NA,2,NA,5.5,NA,6.25,NA,4.75,85.6,86,85,1
3.67,3.284,2,2,6.25,4.75,7,6.25,4.75,4.75,97.6,99,98,1
3.8,2.876,2,3,7,7,7,7,5.5,5.5,89.8,85,92,1
3.76,3.881,2,3,7,7,7,7,5.5,6.25,89.8,87,85,1
3.65,3.58,1,2,4,7,6.25,7,2.5,7,90.8,85,94,1
3.45,2.896,1,2,7,7,7,7,7,5.5,84.1,75,85,0
NA,2.036,NA,2,NA,7,NA,7,NA,5.5,75.8,87,72,1
3.9,3.233,2,2,6.25,6.25,5.5,6.25,5.5,5.5,83.5,83,81,1
1.8,3.362,2,3,7,7,7,7,4,5.5,89,78,93,1
3.7,2.631,1,2,6.25,6.25,6.25,6.25,6.25,3.25,72.4,68,65,0
NA,NA,NA,3,NA,5.5,NA,5.5,NA,4,74.7,85,59,0
3.7,2.69,1,3,5.5,4,7,4,4.75,4,74.7,77,64,0
NA,3.212,4,NA,5.5,NA,6.25,NA,5.5,NA,79.6,82,77,1
4,3.1,3,2,6.25,6.25,6.25,6.25,4.75,5.5,86.2,80,94,0
3.9,3.662,2,3,4.75,5.5,4.75,7,4.75,3.25,83.9,71,92,0
4.12,3.812,2,4,6.25,5.5,3.25,5.5,5.5,6.25,92.6,89,89,0
NA,3.065,NA,3,NA,6.25,NA,6.25,NA,4.75,74,91,58,1
3.6,2.765,3,3,6.25,6.25,6.25,6.25,4.75,4.75,85,83,81,0
4.25,3.851,2,2,6.25,5.5,6.25,5.5,5.5,6.25,98.4,96,98,1
NA,2.311,NA,1,NA,7,NA,7,NA,5.5,80.3,81,83,1
4.037,3.066,2,4,7,7,6.25,5.5,5.5,4.75,92.9,84,96,1
3.7,2.965,2,3,5.5,5.5,5.5,5.5,4,5.5,85.5,80,86,0
4.4,2.584,1,1,6.25,7,6.25,7,5.5,6.25,91.7,83,96,1
3.79,2.938,2,2,6.25,7,6.25,7,4,5.5,82,84,71,0
4.3,2.762,2,2,5.5,5.5,5.5,5.5,5.5,6.25,90,83,94,1
3.4,2.666,2,2,5.5,5.5,7,7,4.75,4.75,84.7,81,81,1
3.9,3.511,2,3,7,6.25,5.5,5.5,3.25,3.25,91.1,92,86,0
3.8,3.048,2,4,5.5,6.25,5.5,6.25,5.5,5.5,77.3,69,79,1
NA,2.967,NA,1,NA,4,NA,7,NA,2.5,72,63,78,1
3.9,3.065,2,2,5.5,6.25,6.25,5.5,2.5,3.25,86,82,84,0
NA,NA,NA,2,NA,6.25,NA,5.5,NA,4.75,71.5,81,78,1
4,3.408,2,3,6.25,6.25,7,5.5,1.75,4,96.3,91,99,0
3.93,NA,1,2,7,7,7,7,4,4,92.2,87,91,1
3.9,3.065,2,2,5.5,6.25,6.25,5.5,2.5,3.25,86,82,84,0
3.76,3.881,2,3,7,7,7,7,5.5,6.25,89.8,87,85,1
3.3,NA,2,4,6.25,6.25,7,6.25,5.5,5.5,89.4,79,94,0
3.9,3.26,4,3,5.5,5.5,6.25,7,4,3.25,73.6,70,71,0
NA,3.25,NA,1,NA,4,NA,5.5,NA,4,82,85,78,0
3.435,3.432,1,1,7,7,5.5,6.25,5.5,7,84.9,78,90,0
3.7,3.32,1,1,5.5,7,7,7,5.5,7,90.3,83,91,1
3.6,2.765,3,3,6.25,6.25,6.25,6.25,4.75,4.75,85,83,81,0
4,3.641,1,1,7,7,4,7,5.5,7,89.1,81,91,1
4.3,2.762,2,2,5.5,5.5,5.5,5.5,5.5,6.25,90,83,94,1
4.6,2.726,5,5,3.25,4.75,1.75,5.5,4,5.5,85.9,79,86,0
4.17,3.294,1,1,6.25,6.25,7,7,3.25,1,78.6,74,71,1
4,3.891,1,1,5.5,5.5,4,5.5,4,5.5,96.1,93,98,0
NA,2.56,NA,2,NA,7,NA,7,NA,4,89,87,90,0
4.4,2.584,1,1,6.25,7,6.25,7,5.5,6.25,91.7,83,96,1
3.7,NA,1,1,5.5,4.75,5.5,4.75,5.5,4.75,88,98,87,0
3.8,3.14,1,5,6.25,6.25,5.5,6.25,5.5,4.75,77.5,70,71,1
1.8,3.362,2,3,7,7,7,7,4,5.5,89,78,93,1
NA,2.56,NA,2,NA,7,NA,7,NA,4,89,87,90,0
4,3.937,1,1,6.25,3.25,5.5,3.25,5.5,4,95.5,94,96,1
4.1,3.816,2,2,6.25,5.5,6.25,5.5,4,5.5,98.8,97,99,1
3.8,2.863,6,9,4,2.5,4,2.5,5.5,2.5,55.8,58,48,0
4.1,3.247,2,4,5.5,5.5,4.75,6.25,4,2.5,78.9,74,79,0
3.7,2.567,3,NA,5.5,NA,6.25,NA,4,NA,62.4,64,56,1
4.6,2.726,5,5,3.25,4.75,1.75,5.5,4,5.5,85.9,79,86,0
3.5,1.971,1,1,7,6.25,7,7,4,5.5,75.6,74,73,0
NA,2.859,NA,4,NA,6.25,NA,6.25,NA,4.75,80,72,91,0
3.2,2.302,1,2,5.5,5.5,7,7,4,4.75,58.7,38,66,1
3.957,3.833,1,2,6.25,7,5.5,7,3.25,4.75,83.2,80,76,1
3.97,3.356,2,2,6.25,7,6.25,6.25,4,4.75,85.9,82,87,0
4.32,3.484,2,5,6.25,5.5,6.25,6.25,4.75,4,85.7,74,92,1
3.7,3.585,3,3,5.5,5.5,5.5,5.5,5.5,5.5,91.2,88,95,1
3.435,3.432,1,1,7,7,5.5,6.25,5.5,7,84.9,78,90,0
NA,3.4,NA,2,NA,5.5,NA,6.25,NA,4,87.3,87,85,1
3.994,3.022,2,2,7,7,7,7,4,4.75,85.6,79,85,0
3.9,NA,2,2,5.5,7,6.25,7,4,5.5,91.4,91,90,0
4.32,3.484,2,5,6.25,5.5,6.25,6.25,4.75,4,85.7,74,92,1
NA,2.948,1,2,7,7,7,7,4,4,92.3,87,93,1
3.7,3.585,3,3,5.5,5.5,5.5,5.5,5.5,5.5,91.2,88,95,1
3.2,2.389,2,NA,4,NA,7,NA,3.25,NA,39.1,68,0,0
3.7,2.69,1,3,5.5,4,7,4,4.75,4,74.7,77,64,0
4,3.1,3,2,6.25,6.25,6.25,6.25,4.75,5.5,86.2,80,94,0
4,3.641,1,1,7,7,4,7,5.5,7,89.1,81,91,1
3.7,2.567,3,NA,5.5,NA,6.25,NA,4,NA,62.4,64,56,1
3.8,3.113,2,2,5.5,6.25,5.5,6.25,4,5.5,93.6,86,98,0
3.435,3.432,1,1,7,7,5.5,6.25,5.5,7,84.9,78,90,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,74,79,NA
NA,2.012,NA,2,NA,1,NA,7,NA,4,79.9,79,80,1
4.1,3.25,1,3,7,5.5,7,4,7,4,84,81,82,0
NA,2.833,NA,4,NA,7,NA,7,NA,4.75,62.8,60,52,1
3.97,3.356,2,2,6.25,7,6.25,6.25,4,4.75,85.9,82,87,0
3.45,2.896,1,2,7,7,7,7,7,5.5,84.1,75,85,0
NA,3.132,NA,3,NA,4,NA,7,NA,2.5,80.7,84,84,1
NA,2.036,NA,2,NA,7,NA,7,NA,5.5,75.8,87,72,1
3.05,NA,2,2,5.5,6.25,6.25,7,6.25,5.5,75.3,80,86,0
NA,3.248,NA,NA,NA,NA,NA,NA,NA,NA,85.3,87,82,NA
NA,2.537,NA,5,NA,5.5,NA,4.75,NA,4.75,77.7,69,81,1
3.4,3.148,2,2,6.25,6.25,6.25,6.25,5.5,6.25,90.2,87,91,1
NA,NA,NA,7,NA,6.25,NA,7,NA,4,72.4,74,74,0
NA,3.065,NA,3,NA,6.25,NA,6.25,NA,4.75,74,91,58,1
3.8,3.048,2,4,5.5,6.25,5.5,6.25,5.5,5.5,77.3,69,79,1
NA,3.25,NA,1,NA,4,NA,5.5,NA,4,82,85,78,0
3.4,2.666,2,2,5.5,5.5,7,7,4.75,4.75,84.7,81,81,1
3.98,3.228,4,5,5.5,6.25,5.5,7,4.75,4.75,75.1,70,78,1
4,3.891,1,1,5.5,5.5,4,5.5,4,5.5,96.1,93,98,0
3.9,NA,2,2,5.5,7,6.25,7,4,5.5,91.4,91,90,0
3.3,NA,2,4,6.25,6.25,7,6.25,5.5,5.5,89.4,79,94,0
NA,NA,4,NA,4,NA,4.75,NA,4,NA,29.3,50,29,0
1.8,3.362,2,3,7,7,7,7,4,5.5,89,78,93,1
3.7,3.182,2,4,4,6.25,6.25,6.25,4,4.75,80.2,75,78,0
NA,NA,2,NA,6.25,NA,7,NA,4.75,NA,56,56,54,0
4.037,3.066,2,4,7,7,6.25,5.5,5.5,4.75,92.9,84,96,1
3.7,2.567,3,NA,5.5,NA,6.25,NA,4,NA,62.4,64,56,1
NA,3.362,2,1,7,7,7,7,5.5,4.75,87.9,75,91,1
3.5,3.203,4,5,5.5,5.5,6.25,7,4,4,74.1,70,65,0
3.9,1.995,2,2,5.5,3.25,7,7,4,4,63,42,68,1
3.7,2.69,1,3,5.5,4,7,4,4.75,4,74.7,77,64,0
NA,2.283,NA,3,NA,7,NA,7,NA,6.25,60.7,77,55,1
