"highschoolGPA","pre_intervention_GPA","gradegoal","gradegoal_E2","motivation","motivation_E2","importance","importance_E2","confidence","confidence_E2","grade","exam_1","exam_2","group"
4,2.283,1,1,6.25,7,7,7,6.25,5.5,80.1,79,77,0
3.4,2.916,1,3,6.25,6.25,7,7,4,4,78.1,82,71,0
3.2,NA,2,NA,3.25,NA,6.25,NA,3.25,NA,62.4,79,69,NA
4.12,NA,1,4,7,6.25,7,6.25,5.5,6.25,85.7,92,88,1
3.7,2.414,2,2,6.25,6.25,6.25,7,4,5.5,83.2,78,85,0
3.7,2.932,3,2,5.5,6.25,7,6.25,4,3.25,83.2,69,96,1
3.8,NA,2,1,5.5,7,6.25,5.5,5.5,4.75,89.1,85,90,0
3.85,3.362,3,3,5.5,3.25,6.25,4,4.75,3.25,90.2,79,92,1
3.9,2.967,2,2,5.5,5.5,6.25,5.5,6.25,5.5,90.8,94,87,1
3.3,2.25,2,2,6.25,5.5,7,7,5.5,2.5,65.6,74,54,0
4.2,2.965,2,2,3.25,1,2.5,NA,4,NA,81.8,80,79,1
NA,2.934,NA,NA,NA,NA,NA,NA,NA,NA,85.4,72,91,NA
3.8,3.42,2,2,5.5,6.25,5.5,5.5,5.5,5.5,85.3,90,96,1
3.3,NA,8,9,3.25,5.5,5.5,6.25,4.75,5.5,29.3,38,0,0
NA,2.859,NA,3,NA,7,NA,6.25,NA,5.5,86,86,93,1
NA,3.74,NA,NA,NA,NA,NA,NA,NA,NA,82.5,88,82,NA
4,3.36,2,1,5.5,5.5,1.75,6.25,4,6.25,86,84,90,0
3.8,3.216,2,2,5.5,6.25,6.25,6.25,3.25,4,79.1,64,93,1
3.5,3.255,2,4,5.5,6.25,6.25,6.25,4.75,4,83.2,81,83,1
NA,2.517,NA,3,NA,6.25,NA,7,NA,1,64.6,68,78,0
3.4,2.576,2,3,5.5,5.5,6.25,7,4,3.25,55.8,57,0,0
3.76,2.537,3,4,6.25,7,5.5,6.25,4,4.75,58.5,50,58,1
4.1,NA,2,7,7,5.5,7,7,5.5,4,75.1,71,54,0
NA,3.1,NA,1,NA,7,NA,7,NA,4.75,79.8,81,85,1
3.95,3.113,2,3,6.25,5.5,6.25,4.75,4.75,4.75,72.6,80,76,0
4,3.36,4,7,6.25,6.25,6.25,5.5,4,4,73.6,59,80,0
4,3.496,1,2,5.5,7,5.5,6.25,4.75,5.5,95.9,97,93,0
4.02,3.516,2,5,5.5,6.25,1.75,6.25,5.5,6.25,90.9,78,88,0
4.32,3.09,2,2,7,6.25,7,6.25,5.5,4.75,92.5,86,95,0
NA,3.484,NA,2,NA,4.75,NA,5.5,NA,4,89.6,92,95,NA
3.85,2.49,3,2,3.25,5.5,4,5.5,1.75,4,74.7,80,79,1
4.25,3.589,2,1,7,5.5,6.25,6.25,6.25,4,95.5,88,95,1
3.7,2.762,1,1,7,5.5,6.25,6.25,7,5.5,89.1,84,89,1
3.85,3.4,2,6,5.5,5.5,4,6.25,4,5.5,62.4,57,53,1
4.6,3.783,2,2,6.25,6.25,6.25,5.5,4,4,89.1,87,90,0
3.5,3.351,3,2,7,7,7,6.25,4.75,4,87.6,91,85,1
NA,2.911,1,2,6.25,7,7,7,4.75,4.75,85.1,83,91,1
3.8,2.152,4,NA,5.5,NA,5.5,NA,4,NA,81.7,78,86,NA
4,3.546,2,3,6.25,5.5,6.25,5.5,4.75,4,87.8,84,92,0
3.7,3.396,1,1,6.25,4,7,5.5,1.75,2.5,92.3,91,94,1
NA,2.916,3,NA,4.75,NA,7,NA,4,NA,90.3,91,94,1
3.5,3.589,4,2,5.5,5.5,6.25,6.25,4.75,5.5,88.3,91,96,1
3.4,3.576,5,5,5.5,5.5,5.5,5.5,3.25,3.25,77.3,80,59,0
NA,3.42,3,NA,4,NA,5.5,NA,1.75,NA,83.5,80,89,0
3.2,2.49,2,2,5.5,5.5,6.25,7,5.5,4.75,72.6,82,63,1
3.86,3.693,1,1,7,7,5.5,6.25,5.5,4.75,93.5,94,93,0
3.6,3.248,1,1,6.25,5.5,7,5.5,4,4.75,98.4,93,96,1
NA,NA,NA,2,NA,5.5,NA,6.25,NA,4.75,72.6,79,78,0
3.9,3.746,1,5,6.25,5.5,4.75,4,5.5,5.5,83.9,81,81,0
3.85,2.666,3,4,6.25,5.5,7,5.5,6.25,4,78.7,74,83,0
4,3.641,2,2,6.25,7,7,5.5,5.5,6.25,94.6,81,93,1
3.7,3.533,3,3,7,6.25,7,6.25,5.5,4,80.7,67,88,0
3.994,3.203,1,1,7,6.25,6.25,5.5,5.5,6.25,91.1,91,99,NA
3.5,2.631,2,NA,5.5,NA,6.25,NA,4,NA,71.8,81,79,NA
3.4,NA,4,NA,4,NA,7,NA,1.75,NA,66.5,70,65,NA
3.45,2.567,NA,2,NA,4.75,NA,6.25,NA,5.5,55.8,56,29,0
NA,3.603,NA,3,NA,6.25,NA,7,NA,5.5,90.8,91,94,1
3.978,3.248,1,1,5.5,5.5,5.5,6.25,4.75,5.5,96.6,100,94,0
4,3.437,3,3,7,7,7,6.25,4,4,89,81,96,0
3.7,1.915,1,NA,1,NA,1.75,NA,1.75,NA,29.3,38,0,1
3.9,2.946,2,4,6.25,6.25,6.25,5.5,4.75,5.5,91.8,83,91,1
4,3.693,3,6,6.25,5.5,6.25,3.25,6.25,5.5,98.4,94,87,0
3.5,3.662,2,4,6.25,7,6.25,6.25,4,4,89.8,75,87,1
4,2.443,1,1,7,7,6.25,7,5.5,5.5,90.3,83,87,0
NA,2.674,NA,3,NA,7,NA,6.25,NA,5.5,77.3,64,77,1
3.9,3.408,5,4,4,6.25,6.25,6.25,4,4.75,81.7,83,85,1
NA,1.629,NA,2,NA,7,NA,7,NA,4,58.7,64,55,0
NA,3.32,NA,NA,NA,NA,NA,NA,NA,NA,81.7,80,95,NA
4.17,3.881,1,2,5.5,5.5,5.5,5.5,4.75,6.25,95.9,85,99,1
NA,2.448,NA,NA,NA,NA,NA,NA,NA,NA,64.2,80,40,1
NA,3.611,4,NA,4,NA,5.5,NA,4,NA,89.4,94,98,1
NA,3.066,NA,2,NA,4.75,NA,5.5,NA,3.25,84,75,92,NA
4.1,3.3,1,2,4,5.5,3.25,5.5,4,3.25,78.9,82,85,0
3.4,3.816,1,2,5.5,5.5,5.5,5.5,3.25,4,85.4,80,87,1
3.4,2.283,4,2,7,5.5,7,6.25,5.5,4.75,82.5,71,92,0
3.3,NA,2,3,5.5,5.5,7,5.5,4,4.75,91.7,92,87,1
4.1,3.1,4,4,6.25,6.25,6.25,6.25,4,4.75,86,82,89,0
NA,3.891,NA,2,NA,7,NA,7,NA,4,84,90,81,1
3.9,2.443,2,1,6.25,7,7,7,6.25,5.5,86,84,83,0
3.7,3.881,2,2,6.25,7,6.25,5.5,5.5,4,95.5,86,98,1
NA,2.283,NA,NA,NA,NA,NA,NA,NA,NA,72,81,83,NA
4.037,3.666,2,6,7,5.5,5.5,4.75,5.5,3.25,88.6,72,93,0
3.8,3.065,2,2,5.5,5.5,7,5.5,6.25,4,88,83,90,1
NA,3.262,4,3,5.5,6.25,4.75,6.25,4,4,81.6,59,94,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.4,72,78,NA
3.7,3.022,2,2,5.5,6.25,6.25,7,5.5,6.25,98.8,96,98,1
3.994,3.484,2,3,5.5,5.5,5.5,6.25,5.5,5.5,91.7,83,95,0
3.7,3.227,2,3,7,6.25,6.25,6.25,4.75,2.5,82.7,74,84,0
3.95,3.104,2,2,4.75,5.5,4,5.5,5.5,4.75,85.5,93,90,0
4.1,2.584,4,2,6.25,5.5,7,6.25,5.5,4,85.6,88,95,1
3.8,3.816,2,3,6.25,7,6.25,6.25,4.75,5.5,93.5,84,93,1
4,2.537,2,2,7,7,7,7,3.25,4.75,89,84,92,1
NA,2.517,2,NA,7,NA,7,NA,7,NA,65.6,56,81,1
3.9,2.25,2,3,5.5,5.5,6.25,5.5,4.75,4.75,78.6,60,87,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.8,80,73,NA
4.25,2.557,4,4,6.25,7,6.25,6.25,4.75,4.75,75.8,66,76,0
4.1,2.584,1,4,5.5,4,6.25,5.5,4,5.5,74,71,64,0
NA,2.765,NA,2,NA,6.25,NA,7,NA,4.75,75.9,72,92,0
3.8,3.675,2,4,4.75,7,4.75,6.25,4.75,4.75,78.7,58,91,0
NA,4,NA,NA,NA,NA,NA,NA,NA,NA,83.3,81,93,NA
4.1,2.934,2,2,6.25,5.5,6.25,5.5,5.5,5.5,92.5,86,93,1
3.9,2.185,2,4,6.25,6.25,6.25,6.25,4.75,4.75,78.1,69,83,0
NA,2.69,NA,2,NA,6.25,NA,7,NA,5.5,80.2,79,87,0
3.7,3.248,1,2,6.25,7,5.5,4,6.25,4,75.2,81,66,0
3.78,3.402,1,2,6.25,7,6.25,7,4,4.75,85.4,87,86,1
NA,NA,2,2,6.25,7,7,6.25,7,6.25,79.9,87,78,1
3.4,2.967,3,5,5.5,4,5.5,5.5,6.25,4.75,75.9,78,74,1
4.1,3.108,2,3,3.25,4,4.75,4,3.25,5.5,90,87,89,1
NA,NA,1,NA,6.25,NA,6.25,NA,6.25,NA,77.5,63,92,NA
3.9,3.68,2,3,5.5,5.5,3.25,5.5,5.5,5.5,87.9,81,90,0
4.037,2.036,3,3,5.5,7,7,7,6.25,5.5,74,70,71,1
NA,2.185,NA,6,NA,4.75,NA,5.5,NA,3.25,68.5,58,59,0
3.7,NA,1,4,4.75,6.25,2.5,6.25,6.25,6.25,89.4,76,92,0
3.978,3.662,2,4,5.5,7,4.75,6.25,4,4,72.6,85,71,0
3.86,1.915,NA,2,NA,5.5,NA,7,NA,7,90.5,92,93,NA
NA,1.966,NA,NA,NA,NA,NA,NA,NA,NA,58.7,48,66,0
4.06,3.546,4,9,5.5,5.5,6.25,6.25,2.5,2.5,83.2,79,90,1
NA,2.443,NA,2,NA,7,NA,7,NA,5.5,84.1,85,74,0
NA,NA,2,NA,4,NA,4,NA,4,NA,77.6,90,82,1
3.9,3.432,2,2,4.75,7,4.75,5.5,3.25,5.5,89,87,92,0
4,3.262,2,2,5.5,6.25,5.5,7,4,4,85.9,91,87,1
NA,3.816,NA,2,NA,6.25,NA,6.25,NA,4.75,90.5,94,85,0
4,3.205,4,3,6.25,7,7,7,4,4,79.9,77,83,1
3.7,3.022,4,2,5.5,6.25,7,7,5.5,5.5,82.4,84,89,1
NA,2.762,NA,5,NA,4,NA,6.25,NA,4.75,75.9,69,74,0
NA,1.629,NA,5,NA,6.25,NA,7,NA,4.75,29.3,38,0,1
3.85,3.812,2,5,5.5,4.75,4.75,6.25,3.25,3.25,80.7,66,80,0
3.7,1.629,3,NA,6.25,NA,7,NA,5.5,NA,75.8,76,71,0
3.8,3.408,4,5,5.5,7,4,7,5.5,6.25,77.7,63,71,0
3.7,3.065,2,2,7,7,7,6.25,5.5,6.25,96.4,82,98,0
3.8,3.055,2,1,6.25,7,7,5.5,4,6.25,79.9,91,76,0
3.9,2.541,4,2,5.5,5.5,7,7,4.75,4.75,79.5,77,92,0
3.7,3.247,1,1,6.25,7,7,7,6.25,7,91,87,87,1
NA,3.351,NA,3,NA,7,NA,7,NA,5.5,87.8,82,83,1
3.4,2.302,4,NA,6.25,NA,6.25,NA,4.75,NA,39.1,38,0,0
3.5,3.533,1,4,5.5,7,7,7,4,5.5,91,90,91,0
4.32,3.066,2,3,6.25,5.5,6.25,5.5,5.5,4,88,86,79,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.3,38,0,1
3.5,3.254,2,2,5.5,6.25,5.5,7,4,6.25,88.3,85,91,1
3.7,2.916,5,6,5.5,5.5,4,5.5,4,4,72,56,78,0
4.32,2.934,2,1,5.5,6.25,6.25,7,5.5,4.75,75.3,77,64,0
4,3.065,2,1,6.25,7,6.25,7,6.25,5.5,91.3,85,87,0
4.3,3.048,1,2,7,7,7,6.25,5.5,4.75,88.2,86,91,1
3.4,NA,3,NA,3.25,NA,4.75,NA,1.75,NA,58.7,77,48,0
NA,2.876,NA,2,NA,7,NA,7,NA,6.25,64.2,66,64,1
3.8,3.25,1,2,7,7,6.25,7,5.5,4,92.9,85,91,NA
4.4,3.865,2,1,4,7,5.5,7,1.75,5.5,94.8,92,92,1
